%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1734501488334152012,26514,1734501488333948850,map,-2.557539350831551,-4.217689564595701,0.9647939209318072,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0
1734501488434219524,26515,1734501488433960437,map,-2.548454469838909,-4.22960351113715,0.9788962303662132,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0
1734501488533279869,26516,1734501488532919883,map,-2.5379192813157125,-4.240161828586465,0.963612953522264,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0
1734501488633319299,26517,1734501488632654905,map,-2.5055368929942556,-4.261541781479113,1.0504519778868966,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501488732780527,26518,1734501488732127428,map,-2.5125401356756787,-4.244622338204267,1.0341875002686283,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501488833587982,26519,1734501488833202362,map,-2.50420282849417,-4.243309398038464,1.0124883181659354,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501488933157281,26520,1734501488932889699,map,-2.5100746691723534,-4.2312627833776375,1.0111557282755352,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489034605666,26521,1734501489033968210,map,-2.4976637593809246,-4.249402104958476,0.9934662291891991,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489133036551,26522,1734501489132670879,map,-2.514101210988568,-4.2444799460855815,1.0374790347989435,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489232429398,26523,1734501489232208490,map,-2.5181512826617207,-4.25673660213478,1.0873809471565037,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489335624570,26524,1734501489334887266,map,-2.5219244384160415,-4.253800837885359,1.1386486113358476,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489432897348,26525,1734501489432463645,map,-2.5139622123739733,-4.258021348807141,1.1548393132713375,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489533856668,26526,1734501489533351182,map,-2.5096347355350446,-4.245424985506699,1.1569014784101275,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489632664497,26527,1734501489632307052,map,-2.5289928363973893,-4.22044956736071,1.2001198949372787,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489732780683,26528,1734501489732261180,map,-2.5456956153764723,-4.198658840085331,1.228116475080654,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489851655660,26529,1734501489851334333,map,-2.542526981472316,-4.201408677093115,1.2215082624862033,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501489933446010,26530,1734501489933148145,map,-2.507181714772234,-4.245623887880959,1.156526747413261,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501490033093076,26531,1734501490032485008,map,-2.4680267155452227,-4.290683388447387,1.1302904978585937,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
