timestamp,x,y,z,heading_degrees
1.733129523749501e+18,-2.5775,-4.25,0.0,0.0
1.733129523874501e+18,-2.5737657754283187,-4.2598741244344405,-0.003,0.1786758180709523
1.733129523999501e+18,-2.5654480882634325,-4.256333203504876,0.00700000000001,0.3543742752758844
1.733129524124501e+18,-2.565452436994198,-4.255769142750968,0.012,0.5290730513875818
1.733129524249501e+18,-2.5700437044768485,-4.268629959893606,0.018,0.7037111183383756
1.733129524374501e+18,-2.5617307705305663,-4.2651182545350155,0.012,0.8703748543382597
1.733129524499501e+18,-2.5737946828202967,-4.257130247173091,0.00700000000001,1.0285285327151077
1.733129524624501e+18,-2.565483596930588,-4.253676640905688,0.016,1.1772106505405497
1.733129524749501e+18,-2.565490280825369,-4.253364222261965,0.004,1.2739910175932436
1.733129524874501e+18,-2.5700819550654472,-4.266507459650225,0.004,1.361174467419977
1.733129524999501e+18,-2.5821452486890797,-4.258711530056208,0.006,1.4598482230038838
1.733129525124501e+18,-2.573833679936246,-4.255405968783008,0.014,1.5626879700031
1.733129525249501e+18,-2.5738427279040708,-4.25508455482764,0.008,1.66227154163611
1.733129525374501e+18,-2.5655320597974507,-4.251787864125897,0.02,1.7623729506617192
1.733129525499501e+18,-2.5618085774331214,-4.2618723551712225,0.029,1.8759540179418661
1.733129525624501e+18,-2.5738786508616207,-4.253963839687958,0.016,2.009543564961087
1.733129525749501e+18,-2.5618400753147146,-4.260976958289852,0.029,2.153436423587966
1.733129525874501e+18,-2.5618568600975498,-4.260544079564399,0.025,2.2876027343047833
1.733129525999501e+18,-2.5785177641346873,-4.266000684256855,-0.005,2.439686670581317
1.733129526124501e+18,-2.5748029916328963,-4.2759877477219765,-0.014,2.583522681120284
1.733129526249501e+18,-2.595202042995787,-4.270983233842363,-0.035,2.7387652322852993
1.733129526374501e+18,-2.586907422124569,-4.2674876998550255,-0.013,2.900601180748982
1.733129526499501e+18,-2.574878078109282,-4.274463329050964,-0.014,3.0562193975035443
1.733129526624501e+18,-2.57863977751344,-4.263526546738335,-0.006,3.2068811144379468
1.733129526749501e+18,-2.578669314150121,-4.263012204521427,-0.017,3.366438949833805
1.733129526874501e+18,-2.5786925896973925,-4.262623496782529,-0.019,3.487040077034391
1.733129526999501e+18,-2.591618947310283,-4.278685042998223,-0.029,3.591530691189643
1.733129527124501e+18,-2.587052868295028,-4.264959624839943,-0.023,3.6848643425247647
1.733129527249501e+18,-2.5824865218956923,-4.251245696005553,-0.012,3.77464054969868
1.733129527374501e+18,-2.5750373146356615,-4.2718329346322825,-0.000999999999998,3.872369020752844
1.733129527499501e+18,-2.5704744379580835,-4.25808271097904,0.001,3.9734335375780048
1.733129527624501e+18,-2.5871382134894194,-4.263701317297008,-0.03,4.0754669994409864
1.733129527749501e+18,-2.5871624306332865,-4.263365734959763,-0.027,4.179669458050636
1.733129527874501e+18,-2.57972199986147,-4.283865819149177,-0.023,4.304514653029695
1.733129527999501e+18,-2.578900807636664,-4.259611525510994,-0.01,4.422105112690513
1.733129528124501e+18,-2.570609013110052,-4.2562736417531335,0.001,4.535265128737049
1.733129528249501e+18,-2.574374055076675,-4.245450202370121,0.001,4.65097007195814
1.733129528374501e+18,-2.5789905449725326,-4.258495109179047,-0.03,4.768982672420753
1.733129528499501e+18,-2.5873417986254545,-4.261102431854102,-0.044,4.882832294269963
1.733129528624501e+18,-2.579051043004038,-4.2577863967397525,-0.051,4.989274212144453
1.733129528749501e+18,-2.5874027020159804,-4.260405073773932,-0.059,5.099631139615548
1.733129528874501e+18,-2.5920174182117948,-4.273502302062792,-0.062,5.2014514833319065
1.733129528999501e+18,-2.5957828478667846,-4.262721618874744,-0.052,5.303973876422656
1.733129529124501e+18,-2.5912251371774735,-4.249003378227386,-0.052,5.395293595243764
1.733129529249501e+18,-2.5875188158850904,-4.2591520944462635,-0.046,5.489350961844167
1.733129529374501e+18,-2.5792273447907186,-4.2558807267466285,-0.042,5.5819963791657035
1.733129529499501e+18,-2.5913098800043026,-4.248128322476261,-0.034,5.667572544540753
1.733129529624501e+18,-2.5792790480335173,-4.255359332513607,-0.033,5.7442678359183885
1.7331295297495012e+18,-2.583037321126088,-4.244679597995168,-0.033,5.815456700190809
1.733129529874501e+18,-2.5876442817726066,-4.257891854334514,-0.031,5.881586315397986
1.733129529999501e+18,-2.5914029751870142,-4.247213403031575,-0.043,5.952392813207828
1.733129530124501e+18,-2.587690690528076,-4.257446634970893,-0.045,6.020220953418389
1.7331295302495012e+18,-2.583129027703605,-4.243800039381657,-0.042,6.089339010425794
1.733129530374501e+18,-2.5877356175897956,-4.257025256506058,-0.038,6.151464472955921
1.733129530499501e+18,-2.599815738343671,-4.249320262613911,-0.055,6.222357538854449
1.733129530624501e+18,-2.5915155792512046,-4.246162527471918,-0.049,6.279719788642549
1.7331295307495012e+18,-2.5915385031624916,-4.24595528350476,-0.045,6.344296148072745
1.733129530874501e+18,-2.59156174405827,-4.245747322846211,-0.051,6.4091039608876335
1.733129530999501e+18,-2.5878473044825663,-4.256015040455743,-0.047,6.4662420611371285
1.733129531124501e+18,-2.5795472602530984,-4.252863225542203,-0.048,6.521785462540449
1.7331295312495012e+18,-2.583299080277149,-4.242266653357856,-0.043,6.56715208367071
1.733129531374501e+18,-2.58790625286605,-4.255501349002523,-0.042,6.626380003200135
1.733129531499501e+18,-2.5879209782628645,-4.255374971445147,-0.039,6.6657848077797714
1.733129531624501e+18,-2.579617564403693,-4.252257112358612,-0.038,6.710761558250117
1.7331295317495012e+18,-2.5916906834571005,-4.244630073728274,-0.034,6.7574209708990685
1.733129531874501e+18,-2.591705813420113,-4.244502760568063,-0.05,6.797128196428435
1.733129531999501e+18,-2.587989610377308,-4.254795632225034,-0.06,6.846464908568214
1.733129532124501e+18,-2.5917444087286565,-4.244181345661044,-0.05,6.897387728950319
1.7331295322495012e+18,-2.5880295348267404,-4.2544656149556,-0.048,6.949418768527857
1.733129532374501e+18,-2.5917942167754555,-4.2437733979424745,-0.048,7.024670207646982
1.733129532499501e+18,-2.583507351175837,-4.2405298471628745,-0.056,7.108908656351809
1.733129532624501e+18,-2.554816275157821,-4.242019752399508,-0.055,7.121478539923076
1.7331295327495012e+18,-2.5344709559777217,-4.24628107377915,-0.058,7.1971653729277865
1.733129532874501e+18,-2.497463013882932,-4.244770502869405,-0.057,7.218120513070018
1.733129532999501e+18,-2.468781512486122,-4.246185680490871,-0.046,7.25402263151024
1.733129533124501e+18,-2.415090629846011,-4.23906209584332,-0.051,7.1706388257070035
