%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1730017529626447151,5498,1730017529625740051,map,-0.02409141846587379,-4.236877712118833,1.2111699740355424,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017529726449038,5499,1730017529726255178,map,-0.030043598628154353,-4.247332507024554,1.2800574565097569,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017529826445442,5500,1730017529825973510,map,-0.030935606788277493,-4.255665556837014,1.3274502705945566,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017529926307343,5501,1730017529925745487,map,-0.035020313068169925,-4.260041469049328,1.3666037208227406,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530024869127,5502,1730017530024408817,map,-0.03502031398302105,-4.260041470206059,1.3666037373559201,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530126736504,5503,1730017530126489400,map,-0.05431590462394577,-4.284542148915356,1.2683521036341652,0.0,0.0,0.0,1.0,0,3.0,9.0,12.0
1730017530226527518,5504,1730017530226202249,map,-0.09559261467224225,-4.308682952906027,1.1252670064066053,0.0,0.0,0.0,1.0,0,3.0,9.0,12.0
1730017530326508618,5505,1730017530326119422,map,-0.16841351260276025,-4.319176890666847,1.0540693668836711,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530426220088,5506,1730017530425748825,map,-0.20978021644163064,-4.329087642956601,0.9871303500639341,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530525919074,5507,1730017530525474786,map,-0.211696553783746,-4.324173748860441,0.9917240862764468,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530626193835,5508,1730017530625691652,map,-0.21233502578702504,-4.320219590597748,1.038569584909556,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530726159821,5509,1730017530725622892,map,-0.1698881793874908,-4.295972571742463,1.1285906706231308,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530826699560,5510,1730017530826282978,map,-0.1347238602440826,-4.276292883519157,1.2096241911238,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017530925584769,5511,1730017530925220966,map,-0.13619843668271905,-4.278088240196489,1.215663424190577,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531026345864,5512,1730017531025742530,map,-0.07733362784177142,-4.258409035966507,1.2203255031657148,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531126783135,5513,1730017531126345396,map,-0.056283454121182866,-4.25553626461089,1.1846130045863836,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531226685859,5514,1730017531226160049,map,-0.055136930807905056,-4.256953472854594,1.1576731168674372,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531326421733,5515,1730017531326140642,map,-0.07139545406450018,-4.260920078148411,1.1624701799528243,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531426143783,5516,1730017531425867319,map,-0.09174217345661496,-4.267383415487343,1.162280337250097,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531525988156,5517,1730017531525704145,map,-0.10170635135121081,-4.275103127326869,1.1651491553447069,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531626205981,5518,1730017531625782728,map,-0.10233328556005526,-4.279802069816953,1.1693103356652228,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017531726180809,5519,1730017531725960731,map,-0.10341144649941433,-4.285389855953489,1.2064609604340832,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
