timestamp,x,y,z
1732085150749972209,-2.7625,-4.27,0.0
1732085150874972210,-2.7587831573207526,-4.280457558602255,0.012
1732085150999972211,-2.7625,-4.27,0.000999999999998
1732085151124972210,-2.7541744857444277,-4.267040932452507,0.026
1732085151249972211,-2.7625,-4.27,0.012
1732085151374972211,-2.7384152860197397,-4.284996982565555,0.022
1732085151499972211,-2.746740799945226,-4.287956050983977,0.029
1732085151624972212,-2.750457643010747,-4.277498491034148,0.059
1732085151749972212,-2.746740799945226,-4.287956050983977,0.08
1732085151874972212,-2.7300897719292374,-4.282037914582722,0.076
1732085151999972214,-2.746740799945226,-4.287956050983977,0.074
1732085152124972213,-2.75506631431143,-4.290915118075357,0.075
1732085152249972213,-2.7708255142011415,-4.272959067526862,0.026
1732085152374972214,-2.7625,-4.27,0.012
1732085152499972214,-2.7625,-4.27,0.018
1732085152624972214,-2.7745423569365575,-4.262501508447955,0.005
1732085152749972215,-2.78658471409259,-4.255003016480961,-0.033
1732085152874972215,-2.810669429977899,-4.2400060346374735,-0.061
1732085152999972217,-2.814386272767795,-4.229548475579127,-0.103
1732085153124972216,-2.8152781012241768,-4.253422661658061,-0.094
1732085153249972216,-2.8023439138190245,-4.2370469658705625,-0.095
1732085153374972217,-2.7903015567174307,-4.2445454578580835,-0.087
1732085153499972217,-2.7903015567174307,-4.2445454578580835,-0.093
1732085153624972217,-2.7782592001109316,-4.2520439485393835,-0.087
1732085153749972218,-2.7903015567174307,-4.2445454578580835,-0.089
1732085153874972218,-2.8023439138190245,-4.2370469658705625,-0.105
1732085153999972219,-2.810669429977899,-4.2400060346374735,-0.105
1732085154124972219,-2.814386272767795,-4.229548475579127,-0.092
1732085154249972219,-2.8023439138190245,-4.2370469658705625,-0.092
1732085154374972219,-2.798627071083644,-4.247504524949572,-0.075
1732085154499972220,-2.8023439138190245,-4.2370469658705625,-0.111
1732085154624972220,-2.806952587296847,-4.250463593737076,-0.095
1732085154749972221,-2.8023439138190245,-4.2370469658705625,-0.093
1732085154874972221,-2.798627071083644,-4.247504524949572,-0.079
1732085154999972222,-2.8023439138190245,-4.2370469658705625,-0.094
1732085155124972222,-2.810669429977899,-4.2400060346374735,-0.097
1732085155249972222,-2.810669429977899,-4.2400060346374735,-0.101
1732085155374972222,-2.7745423569365575,-4.262501508447955,-0.008
1732085155499972222,-2.7625,-4.27,0.014
1732085155624972223,-2.7625,-4.27,0.03
1732085155749972223,-2.7587831573207526,-4.280457558602255,0.03
1732085155874972223,-2.7625,-4.27,0.027
1732085155999972225,-2.7541744857444277,-4.267040932452507,0.02
1732085156124972224,-2.7587831573207526,-4.280457558602255,0.04
1732085156249972224,-2.7587831573207526,-4.280457558602255,0.047
1732085156374972225,-2.750457643010747,-4.277498491034148,0.053
1732085156499972225,-2.7587831573207526,-4.280457558602255,0.041
1732085156624972225,-2.7587831573207526,-4.280457558602255,0.038
