timestamp,Transmission #,Reception #,maxNoise,Distance,Channel,FirstPathAmp1,FirstPathAmp2,FirstPathAmp3,Max Growth CIR,Rx Preamble Count,Standard Noise,RSSI(dBm),RSSI_fp(dBm),rtd_init,rtd_resp,resp_rx_ts,poll_tx_ts,resp_tx_ts,poll_rx_ts,anchor_id
1726045232.0576773,106222,93706,704,42.288257,5.0,2348.0,11430.0,12470.0,3114.0,230.0,32.0,-82.87,-84.71,72124082.0,72105877.0,953271902.0,881147820.0,1257508475,1185402598.0,12.0
1726045232.1967404,106223,93707,591,42.288257,5.0,3805.0,11782.0,11433.0,2763.0,230.0,28.0,-83.39,-84.32,72123956.0,72105754.0,-1320344608.0,-1392468564.0,-1016126853,-1088232607.0,12.0
1726045232.339715,106224,93708,861,42.250736,5.0,7739.0,13849.0,11940.0,3769.0,230.0,36.0,-82.04,-82.51,72123894.0,72105709.0,700649890.0,628525996.0,1004848763,932743054.0,12.0
1726045232.4824462,106225,93709,858,42.269496,5.0,8720.0,13995.0,10856.0,3631.0,230.0,36.0,-82.2,-82.27,72124033.0,72105843.0,-1573134803.0,-1645258836.0,-1268955013,-1341060856.0,12.0
1726045232.6255555,106226,93710,821,42.288257,5.0,10783.0,13558.0,8947.0,3485.0,230.0,36.0,-82.38,-82.13,72124124.0,72105930.0,447686792.0,375562668.0,751847547,679741617.0,12.0
1726045232.768149,106227,93711,710,42.288257,5.0,5752.0,12800.0,11674.0,3208.0,230.0,32.0,-82.74,-83.4,72124024.0,72105830.0,-1826497500.0,-1898621524.0,-1522355589,-1594461419.0,12.0
1726045232.9111435,106228,93712,947,42.269496,5.0,11415.0,13958.0,8972.0,3710.0,230.0,40.0,-82.11,-81.81,72123935.0,72105740.0,194468811.0,122344876.0,498591867,426486127.0,12.0
1726045233.054018,106229,93713,831,42.288257,5.0,2170.0,10973.0,12053.0,2773.0,230.0,40.0,-83.37,-85.07,72123893.0,72105700.0,-2079456863.0,2143386540.0,-1775352709,-1847458409.0,12.0
1726045233.1967683,106230,93714,766,42.250736,5.0,10306.0,14204.0,10258.0,3778.0,230.0,32.0,-82.03,-81.9,72123986.0,72105801.0,-58558466.0,-130682452.0,245526651,173420850.0,12.0
1726045233.3400166,106231,93715,736,42.269496,5.0,11815.0,13519.0,8034.0,3556.0,230.0,32.0,-82.29,-81.94,72124070.0,72105878.0,1962324562.0,1890200492.0,-2028576645,-2100682523.0,12.0
1726045233.4824736,106232,93716,832,42.269496,5.0,8896.0,12287.0,8721.0,2800.0,230.0,40.0,-83.33,-83.16,72123996.0,72105807.0,-311628792.0,-383752788.0,-7581573,-79687380.0,12.0
1726045233.6253586,106233,93717,742,42.288257,5.0,9278.0,13064.0,9076.0,3059.0,230.0,32.0,-82.94,-82.67,72123927.0,72105732.0,1709289411.0,1637165484.0,2013317755,1941212023.0,12.0
1726045233.7681327,106234,93718,767,42.250736,5.0,9043.0,13730.0,10364.0,3474.0,230.0,32.0,-82.39,-82.36,72123860.0,72105669.0,-564555392.0,-636679252.0,-260545925,-332651594.0,12.0
1726045233.9112458,106235,93719,622,42.307018,5.0,10870.0,12745.0,7696.0,3066.0,230.0,28.0,-82.93,-82.51,72123949.0,72105741.0,1456616921.0,1384492972.0,1760607355,1688501614.0,12.0
1726045234.0539536,106236,93720,676,42.288257,5.0,5206.0,11789.0,11053.0,2817.0,230.0,32.0,-83.3,-84.13,72124022.0,72105824.0,-817174494.0,-889298516.0,-513203077,-585308901.0,12.0
1726045234.1970415,106237,93721,681,42.269496,5.0,9599.0,13745.0,9963.0,3482.0,230.0,28.0,-82.38,-82.25,72123993.0,72105802.0,1204037637.0,1131913644.0,1507990139,1435884337.0,12.0
1726045234.3395915,106238,93722,858,42.288257,5.0,9241.0,13844.0,10410.0,3525.0,230.0,36.0,-82.33,-82.27,72123916.0,72105719.0,-1069729352.0,-1141853268.0,-765795717,-837901436.0,12.0
1726045234.4826922,106239,93723,741,42.325778,5.0,2639.0,12497.0,13483.0,3640.0,230.0,32.0,-82.19,-83.93,72123820.0,72105615.0,951438680.0,879314860.0,1255353467,1183247852.0,12.0
1726045234.6254888,106240,93724,764,42.269496,5.0,9587.0,13934.0,10695.0,3736.0,230.0,32.0,-82.08,-82.16,72123906.0,72105710.0,-1322158162.0,-1394282068.0,-1018262405,-1090368115.0,12.0
1726045234.7682269,106241,93725,820,42.269496,5.0,3086.0,12326.0,13316.0,3593.0,230.0,36.0,-82.24,-84.01,72124026.0,72105817.0,699056678.0,626932652.0,1002933371,930827554.0,12.0
1726045234.911441,106242,93726,737,42.269496,5.0,9265.0,13419.0,9827.0,3348.0,230.0,32.0,-82.55,-82.48,72123984.0,72105791.0,-1574744580.0,-1646868564.0,-1270886789,-1342992580.0,12.0
1726045235.053969,106243,93727,649,42.269496,5.0,3056.0,11993.0,12942.0,3409.0,230.0,28.0,-82.47,-84.25,72123898.0,72105701.0,446316454.0,374192556.0,750155387,678049686.0,12.0
1726045235.1969533,106244,93728,739,42.269496,5.0,8508.0,13046.0,10075.0,3216.0,230.0,32.0,-82.73,-82.82,72124289.0,72106100.0,-1827315923.0,-1899440212.0,-1523495813,-1595601913.0,12.0
1726045235.339929,106245,93729,735,42.250736,5.0,11337.0,13413.0,8738.0,3523.0,230.0,32.0,-82.33,-82.09,72123869.0,72105685.0,193809801.0,121685932.0,497610875,425505190.0,12.0
1726045235.482869,106246,93730,665,42.269496,5.0,2204.0,11244.0,12162.0,2946.0,230.0,32.0,-83.11,-84.86,72124019.0,72105821.0,-2080153057.0,2142690220.0,-1776371077,-1848476898.0,12.0
1726045235.625538,106247,93731,775,42.269496,5.0,9159.0,13817.0,10172.0,3435.0,230.0,32.0,-82.44,-82.29,72123976.0,72105782.0,-58988556.0,-131112532.0,244774523,172668741.0,12.0
1726045235.7683525,106248,93732,754,42.231971,5.0,8479.0,12389.0,9917.0,3026.0,230.0,36.0,-82.99,-83.19,72123838.0,72105663.0,1962291050.0,1890167212.0,-2028931973,-2101037636.0,12.0
1726045235.9114296,106249,93733,620,42.250736,5.0,8836.0,12651.0,9232.0,2978.0,230.0,28.0,-83.06,-82.97,72124249.0,72106061.0,-311329531.0,-383453780.0,-7604101,-79710162.0,12.0
1726045236.0540707,106250,93734,765,42.231971,5.0,10229.0,14082.0,10297.0,3761.0,230.0,32.0,-82.05,-81.97,72123857.0,72105664.0,1709821309.0,1637697452.0,2013527675,1941422011.0,12.0
1726045236.196965,106251,93735,947,42.269496,5.0,10706.0,13913.0,9499.0,3613.0,230.0,40.0,-82.22,-81.97,72123984.0,72105796.0,-563918852.0,-636042836.0,-260231557,-332337353.0,12.0
1726045236.340052,106252,93736,768,42.269496,5.0,9876.0,14202.0,10495.0,3770.0,230.0,32.0,-82.04,-81.98,72123926.0,72105739.0,1457079234.0,1384955308.0,1760747643,1688641904.0,12.0
1726045236.6110995,106268,93752,865,42.288257,5.0,9248.0,13865.0,10363.0,3524.0,230.0,36.0,-82.33,-82.25,72124166.0,72105972.0,-563444046.0,-635568212.0,-260078469,-332184441.0,12.0
1726045236.753848,106269,93753,785,42.288257,5.0,8859.0,12561.0,9048.0,2922.0,230.0,36.0,-83.14,-83.02,72124123.0,72105921.0,1457997959.0,1385873836.0,1761344635,1689238714.0,12.0
1726045236.896984,106270,93754,786,42.288257,5.0,4107.0,12623.0,12654.0,3410.0,230.0,36.0,-82.47,-83.72,72124224.0,72106025.0,-815481108.0,-887605332.0,-512153477,-584259502.0,12.0
1726045237.0395975,106271,93755,650,42.307018,5.0,10216.0,13557.0,9318.0,3423.0,230.0,28.0,-82.46,-82.24,72123807.0,72105602.0,1206032715.0,1133908908.0,1509341307,1437235705.0,12.0
1726045237.182842,106272,93756,771,42.250736,5.0,10851.0,13671.0,9093.0,3562.0,230.0,32.0,-82.28,-82.06,72124251.0,72106060.0,-1067753721.0,-1139877972.0,-764464005,-836570065.0,12.0
1726045237.3252902,106273,93757,752,42.269496,5.0,8853.0,12200.0,9005.0,2844.0,230.0,36.0,-83.26,-83.22,72124176.0,72105984.0,953700028.0,881575852.0,1256970875,1184864891.0,12.0
1726045237.4683988,106274,93758,771,42.250736,5.0,9625.0,14277.0,10961.0,3889.0,230.0,32.0,-81.9,-81.98,72124099.0,72105911.0,-1320135057.0,-1392259156.0,-1016883077,-1088988988.0,12.0
1726045237.6110582,106275,93759,732,42.269496,5.0,10924.0,13318.0,8311.0,3297.0,230.0,32.0,-82.62,-82.22,72124193.0,72105999.0,701063373.0,628939180.0,1004296315,932190316.0,12.0
1726045237.7540522,106276,93760,855,42.250736,5.0,7594.0,13670.0,11833.0,3706.0,230.0,36.0,-82.11,-82.63,72124269.0,72106088.0,-1572756711.0,-1644880980.0,-1269542789,-1341648877.0,12.0
1726045237.8967242,106277,93761,705,42.269496,5.0,10267.0,12772.0,8209.0,3068.0,230.0,32.0,-82.93,-82.62,72124255.0,72106062.0,448461067.0,376336812.0,751656059,679549997.0,12.0
1726045238.0396457,106278,93762,768,42.269496,5.0,9942.0,14115.0,10349.0,3731.0,230.0,32.0,-82.08,-82.01,72124176.0,72105981.0,-1825208644.0,-1897332820.0,-1522032517,-1594138498.0,12.0
1726045238.1828775,106279,93763,510,42.288257,5.0,2068.0,9184.0,10330.0,2005.0,230.0,28.0,-84.78,-86.59,72124076.0,72105885.0,196114008.0,123989932.0,499271291,427165406.0,12.0
1726045238.3252757,106280,93764,741,42.269496,5.0,8754.0,13314.0,10142.0,3302.0,230.0,32.0,-82.61,-82.63,72124164.0,72105968.0,-2077690192.0,2145152940.0,-1774551941,-1846657909.0,12.0
1726045238.468491,106281,93765,509,42.288257,5.0,5767.0,10577.0,8982.0,2077.0,230.0,28.0,-84.63,-84.88,72124287.0,72106090.0,-56195797.0,-128320084.0,246923387,174817297.0,12.0
1726045238.611055,106282,93766,670,42.250736,5.0,10845.0,12368.0,7452.0,2976.0,230.0,32.0,-83.06,-82.71,72124260.0,72106073.0,1965159696.0,1893035436.0,-2026707333,-2098813406.0,12.0
1726045238.7540553,106283,93767,767,42.269496,5.0,9278.0,14230.0,10977.0,3782.0,230.0,32.0,-82.02,-82.06,72124162.0,72105970.0,-308415314.0,-380539476.0,-5333893,-77439863.0,12.0
1726045238.89672,106284,93768,768,42.250736,5.0,11318.0,13926.0,9041.0,3683.0,230.0,32.0,-82.14,-81.85,72124054.0,72105876.0,1712723522.0,1640599468.0,2015786107,1943680231.0,12.0
1726045239.0395968,106285,93769,741,42.269496,5.0,8710.0,12983.0,9637.0,3054.0,230.0,32.0,-82.95,-82.82,72124167.0,72105973.0,-561111885.0,-633236052.0,-258068357,-330174330.0,12.0
1726045239.1825144,106286,93770,748,42.288257,5.0,8489.0,11939.0,8169.0,2510.0,230.0,36.0,-83.8,-83.45,72123808.0,72105606.0,1459679564.0,1387555756.0,1762703995,1690598389.0,12.0
1726045239.325472,106287,93771,699,42.288257,5.0,3401.0,11929.0,12597.0,3242.0,230.0,32.0,-82.69,-84.26,72124278.0,72106076.0,-814377694.0,-886501972.0,-511372165,-583478241.0,12.0
1726045239.4683566,106288,93772,754,42.288257,5.0,3399.0,11975.0,12279.0,3118.0,230.0,36.0,-82.86,-84.23,72124151.0,72105952.0,1206636195.0,1134512044.0,1509622907,1437516955.0,12.0
1726045239.6111104,106289,93773,856,42.250736,5.0,6477.0,13686.0,12451.0,3722.0,230.0,36.0,-82.09,-82.78,72124016.0,72105838.0,-1067304932.0,-1139428948.0,-764337029,-836442867.0,12.0
