timestamp,x,y,z
1734501485500326730,-2.7625,-4.25,0.0
1734501485625326732,-2.7625,-4.25,0.011
1734501485750326734,-2.7625,-4.25,0.02
1734501485875326737,-2.7708330889110977,-4.252937672697804,0.018
1734501486000326739,-2.7708330889110977,-4.252937672697804,0.001
1734501486125326741,-2.7708330889110977,-4.252937672697804,-0.007
1734501486250326743,-2.7791661759703095,-4.25587534420162,-0.011
1734501486375326746,-2.7708330889110977,-4.252937672697804,0.006
1734501486500326748,-2.78285614334963,-4.245408273317605,-0.007
1734501486625326750,-2.78285614334963,-4.245408273317605,-0.023
1734501486750326752,-2.8078554040903505,-4.254221288659794,-0.035
1734501486875326754,-2.8115453723441823,-4.243754215119589,-0.04
1734501487000326757,-2.787499260467367,-4.25881301623434,-0.035
1734501487125326759,-2.7911892280655732,-4.248345944437668,-0.02
1734501487250326761,-2.7995223170311427,-4.251283617155884,-0.023
1734501487375326763,-2.8115453723441823,-4.243754215119589,-0.048
1734501487500326765,-2.7911892280655732,-4.248345944437668,-0.042
1734501487625326767,-2.787499260467367,-4.25881301623434,-0.03
1734501487750326770,-2.7911892280655732,-4.248345944437668,-0.021
1734501487875326772,-2.803212285503444,-4.2408165432004035,-0.034
1734501488000326774,-2.7948791963739734,-4.237878870917986,-0.041
1734501488125326776,-2.774523056618234,-4.242470600942102,-0.035
1734501488250326778,-2.7948791963739734,-4.237878870917986,-0.032
1734501488375326780,-2.7948791963739734,-4.237878870917986,-0.044
1734501488500326783,-2.7948791963739734,-4.237878870917986,-0.043
1734501488625326785,-2.78285614334963,-4.245408273317605,-0.04
1734501488750326787,-2.798569164190471,-4.227411798705943,-0.057
1734501488875326789,-2.7948791963739734,-4.237878870917986,-0.057
1734501489000326791,-2.7948791963739734,-4.237878870917986,-0.064
1734501489125326793,-2.803212285503444,-4.2408165432004035,-0.076
1734501489250326795,-2.7948791963739734,-4.237878870917986,-0.072
1734501489375326798,-2.7948791963739734,-4.237878870917986,-0.073
1734501489500326800,-2.803212285503444,-4.2408165432004035,-0.081
1734501489625326802,-2.8069022534839716,-4.230349470552504,-0.07
1734501489750326804,-2.7911892280655732,-4.248345944437668,-0.061
1734501489875326806,-2.803212285503444,-4.2408165432004035,-0.061
1734501490000326808,-2.803212285503444,-4.2408165432004035,-0.062
1734501490125326810,-2.7948791963739734,-4.237878870917986,-0.051
1734501490250326812,-2.7948791963739734,-4.237878870917986,-0.043
1734501490375326814,-2.803212285503444,-4.2408165432004035,-0.057
1734501490500326817,-2.803212285503444,-4.2408165432004035,-0.063
1734501490625326819,-2.7911892280655732,-4.248345944437668,-0.043
1734501490750326821,-2.7948791963739734,-4.237878870917986,-0.04
1734501490875326823,-2.78285614334963,-4.245408273317605,-0.034
1734501491000326825,-2.78285614334963,-4.245408273317605,-0.038
1734501491125326827,-2.7911892280655732,-4.248345944437668,-0.032
1734501491250326829,-2.7911892280655732,-4.248345944437668,-0.03
1734501491375326831,-2.78285614334963,-4.245408273317605,-0.02
1734501491500326833,-2.78285614334963,-4.245408273317605,-0.025
1734501491625326836,-2.774523056618234,-4.242470600942102,-0.013
1734501491750326838,-2.7948791963739734,-4.237878870917986,-0.03
1734501491875326840,-2.78285614334963,-4.245408273317605,-0.023
1734501492000326842,-2.78285614334963,-4.245408273317605,-0.022
1734501492125326844,-2.7865461117673633,-4.234941199341603,-0.03
1734501492250326846,-2.7948791963739734,-4.237878870917986,-0.042
1734501492375326848,-2.7948791963739734,-4.237878870917986,-0.043
1734501492500326851,-2.7911892280655732,-4.248345944437668,-0.039
1734501492625326853,-2.78285614334963,-4.245408273317605,-0.026
1734501492750326855,-2.7948791963739734,-4.237878870917986,-0.033
1734501492875326857,-2.7948791963739734,-4.237878870917986,-0.035
1734501493000326859,-2.7911892280655732,-4.248345944437668,-0.021
1734501493125326861,-2.78285614334963,-4.245408273317605,-0.015
