timestamp,x,y,z,heading_degrees
1.7300175266251697e+18,0.0,-4.23,0.0,0.0
1.7300175267501696e+18,0.0037417535746070985,-4.241313895395887,0.007,-0.26819167354412415
1.7300175268751698e+18,0.007479384475143319,-4.252635114980069,0.014,-0.5386580856311076
1.7300175270001697e+18,0.003725218060287666,-4.243068569246391,0.006,-0.8116524677474597
1.7300175271251697e+18,0.0037102218326473257,-4.243971507803182,0.004,-1.0913376267608332
1.7300175272501696e+18,0.003691313229205323,-4.2448536290825745,0.013,-1.3645997039045
1.7300175273751698e+18,-0.009223916204433774,-4.262150041096995,-0.005,-1.6395388631875716
1.7300175275001697e+18,-0.005506952657846703,-4.273463951339995,-0.019,-1.9078633664613538
1.7300175276251697e+18,-0.00928223368913031,-4.2638983955605605,-0.021,-2.1813194909618616
1.7300175277501696e+18,-0.009318558653058001,-4.264794902267051,-0.032,-2.4592019148806465
1.7300175278751698e+18,-0.017676615254889894,-4.268661576407312,-0.042,-2.733933378725032
1.7300175280001697e+18,-0.013146103554949523,-4.256102734549315,-0.045,-3.003598804114718
1.7300175281251697e+18,-0.021513658294465443,-4.259987828834683,-0.042,-3.284175340999513
1.7300175282501696e+18,-0.01782287870094748,-4.2713222068423855,-0.045,-3.5592003314249165
1.7300175283751698e+18,-0.009563836544573767,-4.269251300651514,-0.025,-3.841501775800182
1.7300175285001697e+18,-0.0013090637511851133,-4.267177155122735,-0.012,-4.122890935204517
1.7300175286251697e+18,0.015259639336416164,-4.262115562314561,0.005,-4.40222701685565
1.7300175287501696e+18,0.010612333498012355,-4.276464986723685,0.012,-4.688355777538585
1.7300175288751698e+18,0.027172127934241036,-4.271403099629268,0.042,-4.967819402539179
1.7300175290001697e+18,0.02709053530431227,-4.272315585107184,0.061,-5.251550294244959
1.7300175291251697e+18,0.023260899503204202,-4.2627770828029,0.043,-5.534463596436093
1.7300175292501699e+18,0.010281462259691926,-4.280066881819462,0.026,-5.8086021631462925
1.7300175293751698e+18,0.0147744514109176,-4.26741921552762,0.023,-6.051721047871117
1.7300175295001697e+18,0.010118479195025454,-4.2816051286851025,-0.007,-6.287675902210672
1.7300175296251697e+18,0.0017088451638115343,-4.28540183410241,-0.008,-6.542047938307023
1.7300175297501699e+18,-0.002949658728063048,-4.299553804508584,-0.02,-6.767643499481054
1.7300175298751698e+18,0.001542281417062974,-4.286806785100472,-0.009,-6.980219259044309
1.7300175300001697e+18,0.009780540156072798,-4.284467223588519,-0.012,-7.180253062227247
1.7300175301251697e+18,0.009685124260623457,-4.285212413022288,0.018,-7.412927741414057
1.7300175302501699e+18,0.010422408438185482,-4.262040439980437,0.037,-7.632989964011858
1.7300175303751698e+18,0.026133750807226436,-4.280647955448578,0.078,-7.849322795464479
1.7300175305001697e+18,0.026019567055694748,-4.2814628152435175,0.077,-8.104156363177724
1.7300175306251697e+18,0.0304932634915335,-4.268729901698197,0.095,-8.321804630546918
1.7300175307501699e+18,0.022072563112346566,-4.272404252260677,0.091,-8.539037336420341
1.7300175308751698e+18,0.021955396202572225,-4.273173574137907,0.079,-8.780049246581811
1.7300175310001697e+18,0.025597023421208842,-4.284275160427149,0.1,-8.984943875425365
1.7300175311251697e+18,0.029222346401698074,-4.29546258377445,0.127,-9.216885303059003
1.7300175312501699e+18,0.025345282795872698,-4.285824649817062,0.111,-9.471125093109801
1.7300175313751698e+18,0.03351955177143756,-4.283692738660321,0.095,-9.737680698997142
1.7300175315001697e+18,0.02504893919095383,-4.287550655072018,0.099,-10.013504636795005
1.7300175316251697e+18,0.017402662965724652,-4.267541046670405,0.098,-10.292359219794678
1.7300175317501699e+18,0.02929736707758021,-4.275914952770357,0.097,-10.57782304066289
1.7300175318751698e+18,0.004169710523721615,-4.285775628755154,0.081,-10.867541817106998
1.7300175320001697e+18,0.012307943611425787,-4.283718141634162,0.072,-11.15877437518307
1.7300175321251697e+18,0.03707853778776368,-4.27569220896167,0.081,-11.44795711781468
1.7300175322501699e+18,0.0406322299231828,-4.287066647878643,0.093,-11.740876215218961
1.7300175323751698e+18,0.040441283349330975,-4.287973974136851,0.113,-12.028037051285708
1.7300175325001697e+18,0.04856023695455122,-4.285915498976036,0.116,-12.320169495306315
1.73001753262517e+18,0.056671241062872066,-4.28387052208777,0.124,-12.616911825268915
1.7300175327501699e+18,0.048144340830799714,-4.287773817277703,0.126,-12.909943564881463
1.7300175328751698e+18,0.04335031138769374,-4.302150367955565,0.129,-13.211370640593504
1.7300175330001697e+18,0.043961594535179255,-4.279196317297578,0.134,-13.504975128445457
1.73001753312517e+18,0.04748081350414998,-4.290568794582689,0.145,-13.79963469759809
1.7300175332501699e+18,0.04725382427406727,-4.2914829028733115,0.133,-14.091338498293462
1.7300175333751698e+18,-0.006633472737725132,-4.299849156489968,-0.019,-14.388847577247626
1.7300175335001697e+18,-0.018935732557576634,-4.29330960783365,-0.024,-14.685723160804594
1.73001753362517e+18,-0.007111090759340938,-4.301672231631113,-0.018,-14.97252414866918
1.7300175337501699e+18,0.0009628527219301131,-4.299594656605667,-0.025,-15.262196315646966
1.7300175338751698e+18,-0.012165374069580043,-4.3168614007075075,-0.037,-15.53774609486276
1.7300175340001697e+18,-0.019804639078315922,-4.2965079455336195,-0.09,-15.712188152319596
1.73001753412517e+18,-0.011860158070298527,-4.294836229135769,-0.094,-16.133706694959503
1.7300175342501699e+18,0.012192652819267513,-4.310014144033192,-0.068,-16.212085659340243
1.7300175343751698e+18,0.05337996213210906,-4.296474744038075,-0.062,-16.652252623274695
1.7300175345001697e+18,0.08182231658185556,-4.298826443410668,-0.06,-16.925705167813735
1.73001753462517e+18,0.10947354389617042,-4.3249135141526525,-0.056,-17.153837665996868
1.7300175347501699e+18,0.15064769155817415,-4.31133833946471,-0.06,-17.584588811591132
1.7300175348751698e+18,0.217476405025626,-4.238481345898797,-0.084,-1.2072096820828238
1.7300175350001697e+18,0.27941875623403994,-4.229167974310888,-0.076,-1.54870012321369
1.73001753512517e+18,0.33222022187886635,-4.246275837873505,-0.055,-1.7552416408659923
1.7300175352501699e+18,0.3941234124406052,-4.237703227257133,-0.074,-2.3264164632240223
1.7300175353751698e+18,0.4433481417704795,-4.237500200041073,-0.066,-0.40673434100862144
1.73001753550017e+18,0.537751119844832,-4.239807976464895,-0.057,-0.6449451661091157
1.73001753562517e+18,0.6200842924402038,-4.234953712342922,-0.058,-0.9777601591139726
1.7300175357501699e+18,0.68951109402783,-4.246851586948417,-0.063,-1.416917330433912
1.7300175358751698e+18,0.7589465203147571,-4.258113990199245,-0.075,-1.6592556404636125
1.73001753600017e+18,0.8247270705677612,-4.254681025917543,-0.063,-0.5858286530854293
1.73001753612517e+18,0.8783867124849323,-4.245970653007293,-0.044,-0.19087687728869998
1.7300175362501699e+18,0.952418237274166,-4.242496919506284,-0.041,-0.02813197680428428
1.7300175363751698e+18,1.0331048109054455,-4.284902618498929,-0.008,-0.20827629384707494
1.73001753650017e+18,1.1117086153205649,-4.268719497079006,0.027,-0.26823474293901883
1.73001753662517e+18,1.193458444205774,-4.276819507978729,0.02,-4.618043955935639
1.7300175367501699e+18,1.2638167306236756,-4.262509346098888,-0.003,-4.3341175684624815
1.7300175368751698e+18,1.3578353205928553,-4.2797194250856085,0.009,-1.7891382087700536
1.73001753700017e+18,1.4402173313258055,-4.272589253902579,0.012,-1.4169114835117431
1.73001753712517e+18,1.5392034702919783,-4.2606175070650165,0.016,-1.3915286634247623
1.7300175372501699e+18,1.6261166062056902,-4.241629703140975,0.021,-1.5059822561254774
1.7300175373751698e+18,1.6992438417380067,-4.148380467535565,0.083,15.080986887762917
1.73001753750017e+18,1.8106212040169565,-4.1452059069071705,0.115,14.681112719890208
1.73001753762517e+18,1.911053026602918,-4.191034398767155,0.145,0.8041429792963061
1.7300175377501699e+18,2.0304348979880507,-4.186208010870209,0.168,0.006148818969905272
1.7300175378751698e+18,2.1287010735462077,-4.158055281971874,0.169,5.049417286993317
1.73001753800017e+18,2.2482971067647797,-4.153540091957661,0.164,4.152167436416941
1.73001753812517e+18,2.338893491440607,-4.143700713737212,0.16,4.44102978913161
1.7300175382501699e+18,2.450119820005327,-4.141831630271879,0.146,3.648269005212685
1.7300175383751698e+18,2.5570787700692756,-4.122450299700876,0.138,5.04942061778935
1.73001753850017e+18,2.672188605288039,-4.132634805668058,0.123,3.7575186688363007
1.73001753862517e+18,2.7871215112321424,-4.1604818212039785,0.132,-3.0048141221780926
1.7300175387501699e+18,2.9062813432046912,-4.156393280472348,0.132,-4.033255723133575
1.73001753887517e+18,3.02574839371657,-4.124526599872676,0.143,3.5489361949387734
1.73001753900017e+18,3.1406844632768722,-4.133227802667887,0.14,2.7190140672621395
1.73001753912517e+18,3.255427958069529,-4.157727013773648,0.137,-3.004810606947406
1.7300175392501699e+18,3.3941904883135865,-4.181219763800808,0.128,-3.7904921728999983
1.73001753937517e+18,3.508346988041262,-4.1945830011825995,0.012,-6.071625144469147
1.73001753950017e+18,3.618493689617124,-4.214673194276115,-0.044,-6.269810438735987
1.73001753962517e+18,3.749611923202098,-4.268636303420504,-0.061,-12.416553028247973
1.7300175397501699e+18,3.868825363827912,-4.261909617701097,-0.073,-12.631099354596303
1.73001753987517e+18,4.000097357079393,-4.239522549427883,-0.078,-1.4168928890267707
1.73001754000017e+18,4.12325647738201,-4.239338204687599,-0.081,-0.4166032591652307
1.73001754012517e+18,4.250863742420056,-4.22219852216714,-0.063,1.6760852251248974
1.7300175402501699e+18,4.377744492113863,-4.236817450408628,-0.056,1.3272367557025924
1.73001754037517e+18,4.505461852183091,-4.232978911815227,-0.066,-0.6999106086501681
1.73001754050017e+18,4.640616796428532,-4.244447692922859,-0.058,-0.9961385504816423
1.73001754062517e+18,4.771924645309702,-4.2486298522004216,-0.065,-2.271962443055037
1.7300175407501699e+18,4.903289746381707,-4.250080766565238,-0.073,-2.7017619188380846
1.73001754087517e+18,5.026589034293626,-4.246665214953901,-0.048,-0.6999065186091618
1.73001754100017e+18,5.162577167298421,-4.234086904661978,-0.047,-0.9432676418321502
1.73001754112517e+18,5.2977611137176615,-4.23960841087704,-0.047,0.6025002465790197
1.7300175412501699e+18,5.417115558043012,-4.231468479644958,-0.06,0.8307611228579286
1.73001754137517e+18,5.5484811712525675,-4.228804146205924,-0.068,1.6760945469008823
1.73001754150017e+18,5.684496381163792,-4.216010415872851,-0.066,1.4994056759767977
1.73001754162517e+18,5.828006438102277,-4.22452347153377,-0.044,1.1954396049876037
1.73001754175017e+18,5.959462816262084,-4.2266017816872195,-0.052,0.5716539926052933
1.73001754187517e+18,6.087007021544266,-4.210702165596055,-0.058,2.2806265849233456
1.73001754200017e+18,6.226821680370844,-4.209878179234706,-0.054,1.6323078239021793
1.73001754212517e+18,6.366599676816365,-4.208372234201968,-0.066,1.1954436615637918
1.73001754225017e+18,6.502620047907718,-4.196195720913741,-0.073,0.8276033874860202
1.73001754237517e+18,6.653359557161255,-4.2369931586480245,-0.074,-3.0047855244113886
1.73001754250017e+18,6.800458549865046,-4.257221786626728,-0.078,-3.702465467593038
1.73001754262517e+18,6.9571405162686055,-4.241942289048022,-0.082,-1.717293382379509
1.73001754275017e+18,7.087720298379001,-4.266370353731664,-0.085,-1.8682668139791845
1.73001754287517e+18,7.235493058234079,-4.266396953589923,-0.086,-3.7049807925362455
1.73001754300017e+18,7.362506571061425,-4.277044106294195,-0.083,-2.822197392866171
1.73001754312517e+18,7.510721435778242,-4.267148569932895,-0.087,-1.5827687575423868
1.73001754325017e+18,7.646706392585951,-4.254283178796613,-0.087,-1.7372716545393063
1.73001754337517e+18,7.7779883996841015,-4.239549935469806,-0.085,2.8471027964161193
1.73001754350017e+18,7.926136798089439,-4.235620192430634,-0.08,2.2373383116063743
1.73001754362517e+18,8.0576628883936,-4.239047136434357,-0.087,1.1954560974227926
1.73001754375017e+18,8.197424496354275,-4.2371469029370195,-0.088,0.8807776169458954
1.73001754387517e+18,8.33312416298924,-4.215722999051326,-0.091,3.3788900779956665
1.73001754400017e+18,8.476645810907417,-4.2238585926927765,-0.083,3.1915885254627323
1.73001754412517e+18,8.616651397108212,-4.234256797397622,-0.086,-0.9336438841284006
1.73001754425017e+18,8.752620383167079,-4.22238846222255,-0.084,-1.3969800096633107
1.73001754437517e+18,8.870122914425428,-4.1548398636376795,-0.095,9.8849359691549
1.73001754450017e+18,9.010208705492149,-4.153956641046324,-0.081,9.246448651241556
1.73001754462517e+18,9.152315470174784,-4.176906859135662,-0.081,1.195463667812898
1.73001754475017e+18,9.292095812206666,-4.176774662427967,-0.075,0.3331723375307693
1.73001754487517e+18,9.443900894899603,-4.18343924517847,-0.081,-0.3213374645371084
1.73001754500017e+18,9.587351572624911,-4.193743136068349,-0.075,-1.1799562286434409
1.7300175451251702e+18,9.698422807067494,-4.1877707220355225,-0.083,-0.6998722701965112
1.73001754525017e+18,9.825287609639592,-4.199312501832251,-0.073,-0.0955962674475956
1.73001754537517e+18,9.985156262221519,-4.210272073774248,-0.084,-3.0047609491128093
1.73001754550017e+18,10.097689285430215,-4.160971641511185,-0.103,-3.896761761951473
1.7300175456251702e+18,10.243767426631992,-4.142249503814328,-0.096,7.494414879327273
1.73001754575017e+18,10.375184803799174,-4.142253436561204,-0.088,7.513294141231836
1.73001754587517e+18,10.516506090846912,-4.161581703732391,-0.09,0.6025385619970375
1.73001754600017e+18,10.659997117400861,-4.169543582372701,-0.086,0.4693271438048671
1.7300175461251702e+18,10.795962471665993,-4.153835107394101,-0.09,1.19547608777111
1.73001754625017e+18,10.939467811883047,-4.162378167953164,-0.09,0.8822208723702436
1.73001754637517e+18,11.082722406316497,-4.182455870806361,-0.092,-3.0047530080789184
1.73001754650017e+18,11.214163931916726,-4.182206832701031,-0.087,-2.9075634253469023
1.7300175466251702e+18,11.366182404155968,-4.180388389918974,-0.072,-0.9336237416995404
1.73001754675017e+18,11.505937407591835,-4.17663129834261,-0.072,-0.6731615674886484
1.73001754687517e+18,11.630435939364247,-4.235610972814266,-0.097,-7.386495137713838
1.73001754700017e+18,11.772942870770109,-4.268147394508264,-0.105,-7.73899121386507
1.7300175471251702e+18,11.910421820842048,-4.298022973585358,-0.114,-10.535905438106878
1.73001754725017e+18,12.053039744247956,-4.329639116446973,-0.121,-10.601431442868959
