timestamp,Transmission #,Reception #,maxNoise,Distance,Channel,FirstPathAmp1,FirstPathAmp2,FirstPathAmp3,Max Growth CIR,Rx Preamble Count,Standard Noise,RSSI(dBm),RSSI_fp(dBm),rtd_init,rtd_resp,resp_rx_ts,poll_tx_ts,resp_tx_ts,poll_rx_ts,anchor_id
1726040067.855585,55343,47582,598,28.292232,5.0,4957.0,6237.0,3671.0,710.0,230.0,40.0,-89.29,-88.87,72117775.0,72105665.0,-10305605,-82423380.0,1019770491.0,947664826.0,12.0
1726040067.9983156,55344,47583,592,28.273471,5.0,4023.0,5816.0,3936.0,618.0,230.0,40.0,-89.89,-89.74,72117706.0,72105606.0,2012564342,1940446636.0,-1252334469.0,-1324440075.0,12.0
1726040068.1413686,55345,47584,593,28.273471,5.0,3884.0,5916.0,4632.0,697.0,230.0,40.0,-89.37,-89.68,72117822.0,72105720.0,-259530774,-331648596.0,770529915.0,698424195.0,12.0
1726040068.283939,55346,47585,537,28.254709,5.0,2981.0,6072.0,5286.0,710.0,230.0,36.0,-89.29,-89.8,72117930.0,72105831.0,1763370070,1691252140.0,-1501544325.0,-1573650156.0,12.0
1726040068.4272149,55347,47586,593,28.273471,5.0,2834.0,5869.0,5202.0,709.0,230.0,40.0,-89.29,-90.11,72117919.0,72105826.0,-508731317,-580849236.0,521313915.0,449208089.0,12.0
1726040068.5696676,55348,47587,653,28.273471,5.0,1210.0,4568.0,6017.0,692.0,230.0,44.0,-89.4,-92.62,72117899.0,72105794.0,1514156087,1442038188.0,-1750773637.0,-1822879431.0,12.0
1726040068.7127752,55349,47588,543,28.329755,5.0,2934.0,5993.0,5173.0,673.0,230.0,36.0,-89.52,-89.92,72117813.0,72105694.0,-757492767,-829610580.0,272537211.0,200431517.0,12.0
1726040068.8554122,55350,47589,543,28.292232,5.0,5239.0,5239.0,3148.0,665.0,230.0,36.0,-89.57,-89.82,72117900.0,72105794.0,1265695288,1193577388.0,-1999249797.0,-2071355591.0,12.0
1726040068.998596,55351,47590,487,28.310993,5.0,2811.0,5921.0,5314.0,724.0,230.0,32.0,-89.2,-90.05,72118057.0,72105937.0,-1006025515,-1078143572.0,23988859.0,-48117078.0,12.0
1726040069.1413198,55352,47591,535,28.254709,5.0,3351.0,5864.0,4733.0,668.0,230.0,36.0,-89.55,-89.94,72118056.0,72105960.0,1016893140,944775084.0,2046899835.0,1974793875.0,12.0
1726040069.2839513,55353,47592,487,28.292232,5.0,3176.0,5151.0,4880.0,578.0,230.0,32.0,-90.18,-90.97,72117990.0,72105885.0,-1255188334,-1327306324.0,-225189253.0,-297295138.0,12.0
1726040069.4270296,55354,47593,544,28.273471,5.0,3390.0,5878.0,4911.0,688.0,230.0,36.0,-89.42,-89.91,72117879.0,72105784.0,767803427,695685548.0,1797794939.0,1725689155.0,12.0
1726040069.5696452,55355,47594,541,28.254709,5.0,3233.0,5579.0,4523.0,581.0,230.0,36.0,-90.16,-90.36,72118010.0,72105911.0,-1504018266,-1576136276.0,-474034565.0,-546140476.0,12.0
1726040069.71276,55356,47595,545,28.292232,5.0,3922.0,6093.0,4178.0,679.0,230.0,36.0,-89.48,-89.45,72118191.0,72106090.0,519036763,446918572.0,1549012603.0,1476906513.0,12.0
1726040069.8553824,55357,47596,547,28.273471,5.0,3748.0,5615.0,3904.0,565.0,230.0,36.0,-90.28,-90.1,72117702.0,72105596.0,-1752810638,-1824928340.0,-722842501.0,-794948097.0,12.0
1726040069.9986324,55358,47597,545,28.254709,5.0,2960.0,5293.0,5053.0,627.0,230.0,36.0,-89.83,-90.86,72118107.0,72106016.0,270466823,198348716.0,1300427387.0,1228321371.0,12.0
1726040070.1410956,55359,47598,538,28.273471,5.0,1607.0,5010.0,6027.0,701.0,230.0,36.0,-89.34,-91.75,72118036.0,72105930.0,-2001176896,-2073294932.0,-971223941.0,-1043329871.0,12.0
1726040070.283929,55360,47599,543,28.254709,5.0,3750.0,5428.0,4464.0,600.0,230.0,36.0,-90.02,-90.34,72118193.0,72106094.0,21980509,-50137684.0,1051925627.0,979819533.0,12.0
1726040070.427232,55361,47600,593,28.273471,5.0,3932.0,5686.0,4282.0,665.0,230.0,40.0,-89.57,-89.94,72117870.0,72105769.0,2045081626,1972963756.0,-1219948421.0,-1292054190.0,12.0
1726040070.5697546,55362,47601,597,28.217185,5.0,2442.0,5800.0,5364.0,697.0,230.0,40.0,-89.37,-90.33,72117847.0,72105773.0,-226899965,-299017812.0,803029627.0,730923854.0,12.0
1726040070.7127218,55363,47602,650,28.292232,5.0,1678.0,5537.0,6412.0,790.0,230.0,44.0,-88.82,-90.9,72117772.0,72105668.0,1796207032,1724089260.0,-1468838277.0,-1540943945.0,12.0
1726040070.8553977,55364,47603,656,28.273471,5.0,1230.0,4969.0,5797.0,663.0,230.0,44.0,-89.58,-91.91,72117707.0,72105598.0,-475747977,-547865684.0,554166395.0,482060797.0,12.0
1726040070.9985662,55365,47604,541,28.273471,5.0,1717.0,5464.0,6014.0,740.0,230.0,36.0,-89.11,-91.0,72117903.0,72105803.0,1547332667,1475214764.0,-1717728133.0,-1789833936.0,12.0
1726040071.1412828,55366,47605,594,28.254709,5.0,1903.0,5536.0,5823.0,723.0,230.0,40.0,-89.21,-90.85,72118093.0,72105996.0,-724506887,-796624980.0,305391739.0,233285743.0,12.0
1726040071.284129,55367,47606,601,28.292232,5.0,2877.0,6027.0,4942.0,687.0,230.0,40.0,-89.43,-89.89,72118054.0,72105952.0,1298527442,1226409388.0,-1966548869.0,-2038654821.0,12.0
1726040071.4270566,55368,47607,539,28.329755,5.0,1737.0,5391.0,5598.0,710.0,230.0,36.0,-89.29,-91.11,72117983.0,72105865.0,-973220725,-1045338708.0,56662651.0,-15443214.0,12.0
1726040071.569737,55369,47608,542,28.292232,5.0,1292.0,4820.0,5521.0,623.0,230.0,36.0,-89.85,-92.15,72117966.0,72105856.0,1049855098,977737132.0,2079730811.0,2007624955.0,12.0
