%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1733037967728118688,18478,1733037967727600097,map,0.1103625874482025,-4.226346411129478,1.165957747240711,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037967827801801,18479,1733037967827271223,map,0.10486050967810275,-4.228029921130389,1.1803269826045972,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037967927979062,18480,1733037967927404880,map,0.09621764587213595,-4.228559337151162,1.1726173167710932,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968028027343,18481,1733037968027587890,map,0.10799100798630556,-4.22638429987603,1.1502976564772818,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968128319215,18482,1733037968127833604,map,0.1149230751597053,-4.227149648375998,1.1483858711984725,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968229068946,18483,1733037968228380441,map,0.13113391813980385,-4.233028307611989,1.1303367869654386,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968327976917,18484,1733037968327761888,map,0.13688058263568312,-4.237374448476567,1.1247985996760284,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968427764093,18485,1733037968427294492,map,0.14602948532368312,-4.236621758225093,1.11922730991714,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968528553494,18486,1733037968527836561,map,0.1687576701066199,-4.238328182056091,1.1389482977325889,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968628679066,18487,1733037968628333806,map,0.17315106246795356,-4.237669494868766,1.1378763585937584,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968728494632,18488,1733037968728200912,map,0.17399516250939145,-4.234809791499938,1.1575805614342431,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968828162925,18489,1733037968827618598,map,0.1410280060562679,-4.22694477955781,1.1545487675948005,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037968928132380,18490,1733037968927667379,map,0.12255698499520915,-4.226244815439186,1.179002925880445,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969028468742,18491,1733037969028189182,map,0.09237708102289949,-4.226088014954448,1.1998804873851419,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969130009484,18492,1733037969129329681,map,0.09361313520599451,-4.227890116025431,1.215409306047697,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969228411329,18493,1733037969227756023,map,0.10610842125984665,-4.2266555328277855,1.2155040692836405,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969327375841,18494,1733037969327136516,map,0.12906203723895318,-4.222756341878104,1.2036447013907419,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969428919328,18495,1733037969428415775,map,0.14028467372196526,-4.215867280417584,1.2118546972965571,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969527933610,18496,1733037969527431011,map,0.12655397778832542,-4.20889279516499,1.2234479336008106,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969628725933,18497,1733037969628104925,map,0.10709479947446131,-4.206631865041425,1.22916149766152,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969727658311,18498,1733037969727142572,map,0.09152746504277821,-4.210772352541328,1.222522883071548,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969828295271,18499,1733037969828020334,map,0.09738251462800011,-4.215794254256102,1.2331293686727869,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037969928057720,18500,1733037969927519798,map,0.12284464250972685,-4.224021447132632,1.2573853288552603,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970028933941,18501,1733037970028503656,map,0.14945219880608404,-4.228701079816188,1.2878265186464375,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970127722070,18502,1733037970127323150,map,0.16108187107346658,-4.2316876619427894,1.279683939819897,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970228723642,18503,1733037970228374481,map,0.14556578260745667,-4.227982679608923,1.2707312174514325,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970327603046,18504,1733037970327322006,map,0.1359345437655975,-4.225605914680665,1.2384777294850104,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970428257854,18505,1733037970427997589,map,0.12996336723469046,-4.225552929577943,1.2246532573713667,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970527926613,18506,1733037970527469873,map,0.1398629210662118,-4.226601055048083,1.1900636247016303,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970628059743,18507,1733037970627610445,map,0.1312758860808007,-4.222891737851009,1.1833564462904174,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970727781884,18508,1733037970727542161,map,0.12168382241956932,-4.215637826533067,1.1644180330774072,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970829200132,18509,1733037970828993558,map,0.1083827018073305,-4.210941806940119,1.1750122741279379,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037970928125309,18510,1733037970927552223,map,0.11914320147774146,-4.211176812778976,1.1848578629027822,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971029467285,18511,1733037971028850317,map,0.12637667020116167,-4.215882064537051,1.2301746454632023,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971127458126,18512,1733037971127086639,map,0.1426509579162655,-4.222288616043308,1.266843080214501,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971228114976,18513,1733037971227786540,map,0.12796390155356907,-4.22635019548325,1.286869487386918,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971328056997,18514,1733037971327383995,map,0.1163725934648464,-4.228253328842809,1.2480116998039528,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971427900969,18515,1733037971427390575,map,0.1024014057493015,-4.230405961332555,1.1770479247623837,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971529644072,18516,1733037971529069662,map,0.10557000225035312,-4.2302379491684485,1.1374066139639554,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971628358092,18517,1733037971627867937,map,0.11587280909103108,-4.230705704634035,1.1605006354455343,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971728242106,18518,1733037971727581977,map,0.13675771709816284,-4.2274195814495545,1.216594355976931,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971828325900,18519,1733037971827735662,map,0.159097440982611,-4.223663952495648,1.252699452652468,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037971929414330,18520,1733037971928703784,map,0.16593844456079934,-4.222792036146057,1.248115931938827,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
