timestamp,x,y,z,heading_degrees
1.7330379647499617e+18,0.0,-4.27,0.0,0.0
1.7330379648749617e+18,-0.00834276713012952,-4.2729566983456175,-0.003,-0.014434669195371634
1.7330379649999619e+18,-2.4732624753776022e-08,-4.270095661228003,0.0,-0.029626945253505725
1.7330379651249618e+18,-0.0083428267761112,-4.273065786912487,-0.003,-0.04822015838218376
1.7330379652499617e+18,-1.1877966918372174e-07,-4.270209638888289,0.002,-0.06492662752137998
1.7330379653749617e+18,-0.011998251681319266,-4.2626800757331775,-0.017,-0.07718101162175924
1.7330379654999619e+18,-0.020341101167333175,-4.265648738591177,-0.031,-0.09532118722727359
1.7330379656249618e+18,-0.016685930238546337,-4.276208428256597,-0.029,-0.12024301297580355
1.7330379657499617e+18,-0.02034136943181275,-4.265781397648544,-0.037,-0.13640669968812924
1.7330379658749617e+18,-0.020341387089419682,-4.265788753053436,-0.043,-0.13868472601954696
1.7330379659999619e+18,-0.023996738979010557,-4.255321351702043,-0.033,-0.1423458316497159
1.7330379661249618e+18,-0.02034148174343986,-4.265826285146975,-0.034,-0.1503087119566695
1.7330379662499617e+18,-0.020341548305761098,-4.265851027123403,-0.022,-0.15797150091406303
1.7330379663749617e+18,-0.011998816720455552,-4.262951607008556,-0.016,-0.1612763152211778
1.7330379664999619e+18,-0.023996894823549914,-4.255380300414794,-0.008,-0.16060271957351052
1.7330379666249618e+18,-0.0083436373005914,-4.273479419001625,0.002,-0.17632514981547942
1.7330379667499617e+18,-0.02034160547555533,-4.265871357221493,-0.002,-0.16426789779966505
1.7330379668749617e+18,-0.01199875058853403,-4.262927557378902,0.014,-0.15382795041770955
1.7330379669999619e+18,-0.01565403503189236,-4.252433987189023,-0.001,-0.14938395371133711
1.7330379671249618e+18,-0.0036560820661526994,-4.260050978918087,0.017,-0.16420672720989643
1.7330379672499617e+18,-0.011998944297300307,-4.262995113025083,-0.001,-0.17475048740219315
1.7330379673749617e+18,-0.015654170805455725,-4.252483519339712,-0.011,-0.16472446103629135
1.7330379674999619e+18,-8.001450923222908e-07,-4.270544107566505,-0.002,-0.16851411949831616
1.7330379676249618e+18,-0.020341677836390765,-4.2658960227071,-0.025,-0.17190700216424476
1.7330379677499617e+18,-0.011998962328278712,-4.263000994208003,-0.023,-0.17657193898879628
1.7330379678749617e+18,-0.016686457790229037,-4.276408338516264,-0.021,-0.18215682162701285
1.7330379679999619e+18,-9.979676148796912e-07,-4.270607656993345,-0.019,-0.18819591197182492
1.7330379681249618e+18,-0.008343845452425308,-4.273543455131092,-0.026,-0.19615768687675728
1.7330379682499617e+18,-0.004688653040401364,-4.284059588015067,-0.011,-0.207589567688664
1.7330379683749617e+18,-0.008344133442547308,-4.273622625724647,-0.016,-0.22067752967664875
1.7330379684999619e+18,-0.008344352122125254,-4.273677304471878,0.008,-0.23761205136045763
1.7330379686249618e+18,-1.7278782869223352e-06,-4.270799569872246,0.003,-0.24763309044452544
1.7330379687499617e+18,-2.0631370832580043e-06,-4.2708737027322075,-0.002,-0.2705927848362771
1.7330379688749617e+18,-2.277530027378072e-06,-4.270917976537274,0.007,-0.2843048492736994
1.7330379689999619e+18,-2.4590650193334618e-06,-4.270953859533763,0.006,-0.29541820369748556
1.7330379691249618e+18,-0.012000720223636824,-4.263418521783026,-0.008,-0.30588429025213737
1.7330379692499617e+18,-2.889658857058164e-06,-4.271034004558489,-0.005,-0.320240030597388
1.7330379693749617e+18,-0.00834585060737747,-4.273979225669074,-0.003,-0.3311202963573676
1.7330379694999619e+18,-0.012001442651345645,-4.263545656868028,-0.009,-0.3452595418381672
1.7330379696249618e+18,-0.00365908038771684,-4.260699964192389,0.006,-0.3652042033590128
1.7330379697499617e+18,-0.0036593725621274498,-4.260744944018077,0.003,-0.3791350603911994
1.7330379698749617e+18,-4.326164804696608e-06,-4.2712651728190405,0.022,-0.3918358266777872
1.7330379699999619e+18,-0.008347348538325056,-4.274212884849413,0.003,-0.4034876523936942
1.7330379701249618e+18,-0.012002949971841065,-4.263772676834664,-0.005,-0.4155707498080708
1.7330379702499617e+18,-0.012003259123532922,-4.2638146432963495,-0.012,-0.4285684059318574
1.7330379703749617e+18,-0.008348340101680451,-4.274346802568288,-0.004,-0.44496403393680006
1.7330379704999619e+18,-0.012003917463244473,-4.263900021743011,0.002,-0.4550114876788409
1.7330379706249618e+18,-6.091235340233148e-06,-4.271501239478807,0.025,-0.46494935251261
1.7330379707499617e+18,-6.483086301467544e-06,-4.271548773676535,0.018,-0.4796715225558457
1.7330379708749617e+18,-6.823388116500295e-06,-4.271588901206646,0.022,-0.4920997430773789
1.7330379709999616e+18,-7.175466365444416e-06,-4.271629377509328,0.028,-0.5046360082200405
1.7330379711249618e+18,-7.4679887821782476e-06,-4.271662257524738,0.021,-0.5148195794076541
