timestamp,x,y,z
1733053256750406490,-0.185,-4.25,0.0
1733053256875406488,-0.185,-4.25,-0.005
1733053257000406486,-0.18864939710779371,-4.239518712355595,-0.012
1733053257125406484,-0.19699380250872767,-4.242424085587436,-0.015
1733053257250406482,-0.185,-4.25,-0.02
1733053257375406481,-0.185,-4.25,-0.02
1733053257500406479,-0.18864939710779371,-4.239518712355595,-0.011
1733053257625406477,-0.18030498947133958,-4.23661333878958,-0.005
1733053257750406475,-0.19699380250872767,-4.242424085587436,0.01
1733053257875406473,-0.18864939710779371,-4.239518712355595,0.006
1733053258000406471,-0.18864939710779371,-4.239518712355595,-0.002
1733053258125406469,-0.18864939710779371,-4.239518712355595,-0.002
1733053258250406467,-0.185,-4.25,-0.004
1733053258375406465,-0.18864939710779371,-4.239518712355595,-0.003
1733053258500406464,-0.185,-4.25,-0.002
1733053258625406462,-0.18864939710779371,-4.239518712355595,0.002
1733053258750406460,-0.18864939710779371,-4.239518712355595,-0.006
1733053258875406458,-0.18864939710779371,-4.239518712355595,-0.004
1733053259000406456,-0.19699380250872767,-4.242424085587436,0.004
1733053259125406454,-0.1922987932422153,-4.2290374273300495,-0.005
1733053259250406452,-0.19699380250872767,-4.242424085587436,-0.011
1733053259375406450,-0.18864939710779371,-4.239518712355595,0.002
1733053259500406448,-0.18864939710779371,-4.239518712355595,-0.007
1733053259625406446,-0.19699380250872767,-4.242424085587436,-0.007
1733053259750406445,-0.1922987932422153,-4.2290374273300495,-0.018
1733053259875406443,-0.20064319923750248,-4.231942798795704,-0.012
1733053260000406441,-0.20064319923750248,-4.231942798795704,0.003
1733053260125406439,-0.19699380250872767,-4.242424085587436,0.012
1733053260250406437,-0.19699380250872767,-4.242424085587436,0.014
1733053260375406435,-0.2053382081795356,-4.245329457926036,0.022
1733053260500406433,-0.19699380250872767,-4.242424085587436,0.01
1733053260625406431,-0.19699380250872767,-4.242424085587436,0.018
1733053260750406429,-0.2053382081795356,-4.245329457926036,0.015
1733053260875406427,-0.2053382081795356,-4.245329457926036,0.02
1733053261000406425,-0.19699380250872767,-4.242424085587436,0.009
1733053261125406423,-0.19699380250872767,-4.242424085587436,0.019
1733053261250406422,-0.19699380250872767,-4.242424085587436,0.023
1733053261375406420,-0.19699380250872767,-4.242424085587436,-0.012
1733053261500406418,-0.20064319923750248,-4.231942798795704,-0.021
1733053261625406416,-0.18864939710779371,-4.239518712355595,0.00700000000001
1733053261750406414,-0.1922987932422153,-4.2290374273300495,0.021
1733053261875406412,-0.20064319923750248,-4.231942798795704,0.027
1733053262000406410,-0.20064319923750248,-4.231942798795704,0.015
1733053262125406408,-0.19699380250872767,-4.242424085587436,0.013
1733053262250406406,-0.19699380250872767,-4.242424085587436,0.027
1733053262375406404,-0.19699380250872767,-4.242424085587436,0.028
1733053262500406402,-0.19699380250872767,-4.242424085587436,0.041
1733053262625406400,-0.19699380250872767,-4.242424085587436,0.034
1733053262750406398,-0.19334440567081657,-4.252905372338635,0.036
1733053262875406396,-0.2053382081795356,-4.245329457926036,0.027
1733053263000406394,-0.2173320099302431,-4.237753545218933,0.023
1733053263125406392,-0.22567641538421357,-4.240658917973765,0.032
1733053263250406391,-0.22567641538421357,-4.240658917973765,0.033
1733053263375406389,-0.2173320099302431,-4.237753545218933,0.04
1733053263500406387,-0.2173320099302431,-4.237753545218933,0.037
1733053263625406385,-0.22567641538421357,-4.240658917973765,0.033
1733053263750406383,-0.21368261320144954,-4.248234832010657,0.044
1733053263875406381,-0.2053382081795356,-4.245329457926036,0.021
1733053264000406379,-0.2053382081795356,-4.245329457926036,0.026
1733053264125406377,-0.20168881101714903,-4.255810745550235,0.028
1733053264250406375,-0.20168881101714903,-4.255810745550235,0.023
1733053264375406373,-0.2053382081795356,-4.245329457926036,0.019
1733053264500406372,-0.21368261320144954,-4.248234832010657,0.047
1733053264625406370,-0.21368261320144954,-4.248234832010657,0.062
1733053264750406368,-0.20168881101714903,-4.255810745550235,0.044
1733053264875406366,-0.19334440567081657,-4.252905372338635,0.057
1733053265000406364,-0.17300619590466376,-4.257575912332483,0.055
1733053265125406362,-0.13128416841481888,-4.24304904797983,0.034
1733053265250406360,-0.10625095221351658,-4.234332928781479,0.032
1733053265375406358,-0.06557453464265323,-4.243674008504716,0.027
1733053265500406357,-0.020203110259173124,-4.239628430385693,0.03
1733053265625406355,0.02516831390951907,-4.235582851352955,0.031
