timestamp,Transmission #,Reception #,maxNoise,Distance,Channel,FirstPathAmp1,FirstPathAmp2,FirstPathAmp3,Max Growth CIR,Rx Preamble Count,Standard Noise,RSSI(dBm),RSSI_fp(dBm),rtd_init,rtd_resp,resp_rx_ts,poll_tx_ts,resp_tx_ts,poll_rx_ts,anchor_id
1723716188.3717988,23633,21653,584,40.243263,5,3581,8987,7584.0,1492.0,230.0,36.0,-86.06,-86.56,72123284.0,72106096.0,-1741931200.0,-1814054484.0,-1716928389.0,-1789034485.0,12.0
1723716188.5142508,23634,21654,720,40.299545,5,6432,10087,6626.0,1728.0,230.0,40.0,-85.42,-85.09,72122876.0,72105668.0,280467368.0,208344492.0,305467515.0,233361847.0,12.0
1723716188.6575427,23635,21655,688,40.318305,5,1428,7638,9063.0,1575.0,230.0,44.0,-85.83,-88.23,72122963.0,72105747.0,-1992157697.0,-2064280660.0,-1967160197.0,-2039265944.0,12.0
1723716188.7999334,23636,21656,711,40.299545,5,5354,10353,8165.0,1842.0,230.0,40.0,-85.15,-85.12,72123045.0,72105840.0,30194257.0,-41928788.0,55189115.0,-16916725.0,12.0
1723716188.943071,23637,21657,774,40.262023,5,7909,10056,6186.0,1813.0,230.0,44.0,-85.22,-84.75,72123138.0,72105933.0,2052955310.0,1980832172.0,2077947515.0,2005841582.0,12.0
1723716189.0859206,23638,21658,614,40.243263,5,3645,9486,8574.0,1734.0,230.0,36.0,-85.41,-86.11,72123219.0,72106031.0,-219447553.0,-291570772.0,-194457989.0,-266564020.0,12.0
1723716189.2285843,23639,21659,588,40.280784,5,6767,10071,6770.0,1825.0,230.0,32.0,-85.19,-85.02,72122810.0,72105607.0,1803306342.0,1731183532.0,1828293243.0,1756187636.0,12.0
1723716189.3718357,23640,21660,485,40.262023,5,2643,7634,7464.0,1231.0,230.0,32.0,-86.9,-88.06,72122895.0,72105706.0,-469119045.0,-541241940.0,-444134789.0,-516240495.0,12.0
1723716189.5142343,23641,21661,650,40.318305,5,6038,10390,7117.0,1806.0,230.0,36.0,-85.23,-84.95,72123007.0,72105794.0,1553557547.0,1481434540.0,1578539131.0,1506433337.0,12.0
1723716189.657533,23642,21662,674,40.318305,5,3220,9686,9376.0,1820.0,230.0,40.0,-85.2,-86.01,72123109.0,72105894.0,-718883183.0,-791006292.0,-693904261.0,-766010155.0,12.0
1723716189.8000548,23643,21663,736,40.33707,5,7707,9465,5953.0,1708.0,230.0,44.0,-85.47,-85.2,72123209.0,72105991.0,1303846645.0,1231723436.0,1328822907.0,1256716916.0,12.0
1723716189.9430492,23644,21664,614,40.280784,5,2913,9245,8827.0,1642.0,230.0,36.0,-85.65,-86.44,72123294.0,72106094.0,-968492726.0,-1040616020.0,-943519109.0,-1015625203.0,12.0
1723716190.0856977,23645,21665,656,40.33707,5,8681,10352,6147.0,1950.0,230.0,36.0,-84.9,-84.36,72122895.0,72105675.0,1054196667.0,982073772.0,1079167611.0,1007061936.0,12.0
1723716190.2288046,23646,21666,685,40.318305,5,5705,10689,8403.0,1950.0,230.0,36.0,-84.9,-84.81,72122990.0,72105775.0,-1217924582.0,-1290047572.0,-1192956293.0,-1265062068.0,12.0
1723716190.3717058,23647,21667,572,40.280784,5,1771,8094,9100.0,1561.0,230.0,36.0,-85.87,-87.7,72123086.0,72105884.0,804606074.0,732482988.0,829571707.0,757465823.0,12.0
1723716190.51424,23648,21668,610,40.280784,5,5043,9574,7249.0,1595.0,230.0,36.0,-85.77,-85.78,72123188.0,72105987.0,-1467415328.0,-1539538516.0,-1442452357.0,-1514558344.0,12.0
1723716190.6575017,23649,21669,670,40.299545,5,1783,8854,9387.0,1749.0,230.0,40.0,-85.37,-86.93,72123280.0,72106074.0,555220796.0,483097516.0,580181115.0,508075041.0,12.0
1723716190.7999637,23650,21670,584,40.280784,5,6340,10205,6837.0,1785.0,230.0,32.0,-85.28,-85.02,72122874.0,72105673.0,-1717181018.0,-1789303892.0,-1692223365.0,-1764329038.0,12.0
1723716190.943018,23651,21671,677,40.299545,5,4246,9345,8167.0,1664.0,230.0,40.0,-85.59,-86.13,72122977.0,72105768.0,305374733.0,233251756.0,330329723.0,258223955.0,12.0
1723716191.0856466,23652,21672,649,40.299545,5,5942,10178,6920.0,1757.0,230.0,36.0,-85.35,-85.13,72123065.0,72105858.0,-1967167387.0,-2039290452.0,-1942215045.0,-2014320903.0,12.0
1723716191.2289388,23653,21673,572,40.280784,5,2688,9175,8736.0,1711.0,230.0,36.0,-85.47,-86.53,72123167.0,72105972.0,55382731.0,-16740436.0,80332411.0,8226439.0,12.0
1723716191.3715982,23654,21674,649,40.299545,5,6901,9934,6447.0,1770.0,230.0,36.0,-85.32,-85.08,72123270.0,72106063.0,2078183730.0,2006060460.0,2103130747.0,2031024684.0,12.0
1723716191.5145452,23655,21675,827,40.299545,5,7202,10842,7311.0,2024.0,230.0,44.0,-84.74,-84.4,72122874.0,72105666.0,-194232922.0,-266355796.0,-169288581.0,-241394247.0,12.0
1723716191.6573296,23656,21676,537,40.280784,5,2387,8191,8451.0,1535.0,230.0,36.0,-85.94,-87.52,72122962.0,72105763.0,1828234238.0,1756111276.0,1853175931.0,1781070168.0,12.0
1723716191.800127,23657,21677,679,40.33707,5,6056,9394,6612.0,1531.0,230.0,40.0,-85.95,-85.69,72123077.0,72105857.0,-444219791.0,-516342868.0,-419280773.0,-491386630.0,12.0
1723716191.943004,23658,21678,678,40.280784,5,3199,9377,8217.0,1605.0,230.0,40.0,-85.74,-86.28,72123172.0,72105967.0,1578358992.0,1506235820.0,1603295355.0,1531189388.0,12.0
1723716192.0859065,23659,21679,637,40.318305,5,1554,8425,9106.0,1619.0,230.0,40.0,-85.71,-87.38,72123286.0,72106072.0,-694171838.0,-766295124.0,-669238149.0,-741344221.0,12.0
1723716192.228783,23660,21680,583,40.318305,5,7144,10133,6331.0,1783.0,230.0,32.0,-85.29,-84.89,72122889.0,72105675.0,1328049589.0,1255926700.0,1352980603.0,1280874928.0,12.0
1723716192.3716643,23661,21681,605,40.280784,5,3474,9861,8593.0,1786.0,230.0,36.0,-85.28,-85.82,72122980.0,72105779.0,-944227824.0,-1016350804.0,-919299461.0,-991405240.0,12.0
1723716192.5145411,23662,21682,575,40.299545,5,6972,9064,5270.0,1473.0,230.0,36.0,-86.12,-85.69,72123078.0,72105874.0,1078567026.0,1006443948.0,1103492731.0,1031386857.0,12.0
1723716192.742846,23677,21697,633,40.280784,5,5210,9214,6837.0,1596.0,230.0,40.0,-85.77,-86.03,72123127.0,72105925.0,1355503779.0,1283380652.0,1380389499.0,1308283574.0,12.0
1723716192.8857317,23678,21698,713,40.318305,5,5861,10343,7317.0,1907.0,230.0,40.0,-85.0,-85.02,72123261.0,72106050.0,-916383959.0,-988507220.0,-891500933.0,-963606983.0,12.0
1723716193.028837,23679,21699,652,40.280784,5,5469,10282,7635.0,1877.0,230.0,36.0,-85.06,-85.15,72122862.0,72105660.0,1106305946.0,1034183084.0,1131186299.0,1059080639.0,12.0
1723716193.1713874,23680,21700,574,40.299545,5,3482,9146,8773.0,1800.0,230.0,36.0,-85.25,-86.44,72122972.0,72105767.0,-1166110712.0,-1238233684.0,-1141233029.0,-1213338796.0,12.0
1723716193.314522,23681,21701,492,40.262023,5,1806,7998,8004.0,1465.0,230.0,32.0,-86.14,-87.8,72123088.0,72105895.0,856446076.0,784322988.0,881321083.0,809215188.0,12.0
1723716193.4571018,23682,21702,577,40.280784,5,1461,7673,8871.0,1529.0,230.0,36.0,-85.96,-88.19,72123203.0,72106003.0,-1415903505.0,-1488026708.0,-1391031173.0,-1463137176.0,12.0
1723716193.6002862,23683,21703,613,40.299545,5,7032,9865,6131.0,1723.0,230.0,36.0,-85.44,-85.1,72122818.0,72105605.0,606674798.0,534551980.0,631544443.0,559438838.0,12.0
1723716193.7428248,23684,21704,717,40.299545,5,5312,9982,7479.0,1730.0,230.0,40.0,-85.42,-85.4,72122924.0,72105723.0,-1665669672.0,-1737792596.0,-1640802693.0,-1712908416.0,12.0
1723716193.88592,23685,21705,692,40.299545,5,4114,8885,7604.0,1549.0,230.0,44.0,-85.9,-86.55,72123046.0,72105840.0,357297746.0,285174700.0,382162043.0,310056203.0,12.0
1723716194.0288336,23686,21706,674,40.299545,5,3441,9826,8583.0,1779.0,230.0,40.0,-85.3,-85.86,72123173.0,72105970.0,-1914687791.0,-1986810964.0,-1889826181.0,-1961932151.0,12.0
1723716194.1713953,23687,21707,540,40.262023,5,2814,8503,8402.0,1566.0,230.0,36.0,-85.85,-87.14,72123283.0,72106089.0,108230975.0,36107692.0,133089915.0,60983826.0,12.0
1723716194.3145242,23688,21708,675,40.299545,5,2321,9667,9919.0,1982.0,230.0,40.0,-84.83,-86.14,72122897.0,72105687.0,2131134909.0,2059012012.0,-2138976133.0,2083885476.0,12.0
1723716194.4572012,23689,21709,674,40.299545,5,6352,9809,6555.0,1721.0,230.0,40.0,-85.44,-85.31,72123019.0,72105806.0,-141221833.0,-213344852.0,-116368261.0,-188474067.0,12.0
1723716194.6001804,23690,21710,610,40.280784,5,6495,9425,5922.0,1626.0,230.0,36.0,-85.69,-85.55,72123127.0,72105930.0,1881489059.0,1809365932.0,1906339963.0,1834234033.0,12.0
1723716194.7428148,23691,21711,650,40.262023,5,6609,10077,6687.0,1778.0,230.0,36.0,-85.3,-85.05,72123268.0,72106064.0,-390777040.0,-462900308.0,-365928837.0,-438034901.0,12.0
1723716194.885898,23692,21712,611,40.299545,5,6709,9851,6366.0,1664.0,230.0,36.0,-85.59,-85.19,72122878.0,72105665.0,1631874986.0,1559752108.0,1656720507.0,1584614842.0,12.0
1723716195.0286088,23693,21713,518,40.318305,5,5771,9215,6197.0,1432.0,230.0,32.0,-86.24,-85.9,72123009.0,72105801.0,-640478675.0,-712601684.0,-615635845.0,-687741646.0,12.0
1723716195.1717775,23694,21714,679,40.280784,5,7159,9573,5880.0,1599.0,230.0,40.0,-85.76,-85.27,72123139.0,72105937.0,1382000303.0,1309877164.0,1406840443.0,1334734506.0,12.0
1723716195.3144064,23695,21715,718,40.299545,5,9028,10492,6036.0,2020.0,230.0,40.0,-84.75,-84.18,72123272.0,72106064.0,-890401996.0,-962525268.0,-865564549.0,-937670613.0,12.0
1723716195.457208,23696,21716,576,40.280784,5,6639,9226,5894.0,1524.0,230.0,36.0,-85.97,-85.66,72122879.0,72105671.0,1132079019.0,1059956140.0,1156913787.0,1084808116.0,12.0
1723716195.6000926,23697,21717,613,40.33707,5,7815,9831,6161.0,1705.0,230.0,36.0,-85.48,-84.92,72123017.0,72105796.0,-1140153291.0,-1212276308.0,-1115321221.0,-1187427017.0,12.0
1723716195.7430038,23698,21718,646,40.299545,5,8254,10323,6471.0,1871.0,230.0,36.0,-85.08,-84.48,72123144.0,72105931.0,882615988.0,810492844.0,907445371.0,835339440.0,12.0
1723716195.885935,23699,21719,610,40.299545,5,1339,8124,9534.0,1652.0,230.0,36.0,-85.62,-87.71,72123275.0,72106067.0,-1389540041.0,-1461663316.0,-1364713349.0,-1436819416.0,12.0
1723716196.0287788,23700,21720,670,40.262023,5,2107,8917,9252.0,1691.0,230.0,40.0,-85.52,-86.84,72122889.0,72105694.0,633408949.0,561286060.0,658232955.0,586127261.0,12.0
1723716196.1715977,23701,21721,612,40.318305,5,2765,9199,9479.0,1792.0,230.0,36.0,-85.27,-86.5,72123038.0,72105827.0,-1638618038.0,-1710741076.0,-1613796741.0,-1685902568.0,12.0
1723716196.3145037,23702,21722,543,40.318305,5,1652,7964,8733.0,1490.0,230.0,36.0,-86.07,-87.85,72123151.0,72105934.0,384514235.0,312391084.0,409332859.0,337226925.0,12.0
1723716196.457512,23703,21723,537,40.299545,5,3714,8761,8710.0,1682.0,230.0,36.0,-85.54,-86.74,72123288.0,72106071.0,-1887632572.0,-1959755860.0,-1862816645.0,-1934922716.0,12.0
1723716196.6002886,23704,21724,617,40.224498,5,2070,9059,9334.0,1823.0,230.0,36.0,-85.19,-86.71,72122890.0,72105709.0,135083958.0,62961068.0,159897211.0,87791502.0,12.0
1723716196.7429454,23705,21725,520,40.280784,5,2441,8867,8909.0,1709.0,230.0,32.0,-85.47,-86.85,72123028.0,72105821.0,-2137033664.0,2085810604.0,-2112223109.0,2110638366.0,12.0
1723716196.885913,23706,21726,541,40.243263,5,1811,8874,9242.0,1766.0,230.0,32.0,-85.33,-86.91,72123145.0,72105961.0,-114192203.0,-186315348.0,-89384325.0,-161490286.0,12.0
1723716197.085877,23721,21741,611,40.262023,5,7530,9717,5787.0,1668.0,230.0,36.0,-85.58,-85.07,72123077.0,72105883.0,163797105.0,91674028.0,188564603.0,116458720.0,12.0
1723716197.2285297,23722,21742,612,40.262023,5,1992,8968,9533.0,1806.0,230.0,36.0,-85.23,-86.8,72123216.0,72106023.0,-2108344580.0,2114499500.0,-2083579781.0,2139281492.0,12.0
1723716197.3715203,23723,21743,548,40.243263,5,3255,9565,8384.0,1769.0,230.0,32.0,-85.32,-86.11,72122852.0,72105660.0,-85594224.0,-157717076.0,-60832133.0,-132937793.0,12.0
1723716197.5142598,23724,21744,647,40.280784,5,5260,10138,7442.0,1745.0,230.0,36.0,-85.38,-85.3,72122991.0,72105794.0,1937308187.0,1865185196.0,1962067579.0,1889961785.0,12.0
1723716197.6574583,23725,21745,652,40.318305,5,9076,10372,6004.0,1943.0,230.0,36.0,-84.91,-84.24,72123142.0,72105930.0,-334862158.0,-406985300.0,-310105477.0,-382211407.0,12.0
1723716197.8000262,23726,21746,609,40.318305,5,2983,9538,9603.0,1828.0,230.0,36.0,-85.18,-86.17,72123296.0,72106082.0,1687915340.0,1615792044.0,1712669307.0,1640563225.0,12.0
1723716197.9429252,23727,21747,609,40.299545,5,2691,9419,8753.0,1777.0,230.0,36.0,-85.3,-86.31,72122912.0,72105705.0,-584506932.0,-656629844.0,-559755653.0,-631861358.0,12.0
1723716198.085739,23728,21748,535,40.243263,5,4605,8583,6406.0,1345.0,230.0,36.0,-86.51,-86.71,72123044.0,72105856.0,1438138448.0,1366015404.0,1462887035.0,1390781179.0,12.0
1723716198.2286935,23729,21749,718,40.318305,5,6489,10022,6541.0,1727.0,230.0,40.0,-85.43,-85.12,72123196.0,72105984.0,-834128152.0,-906251348.0,-809382277.0,-881488261.0,12.0
1723716198.3716094,23730,21750,698,40.262023,5,2206,8920,8830.0,1623.0,230.0,44.0,-85.7,-86.83,72122834.0,72105637.0,1188533118.0,1116410284.0,1213276283.0,1141170646.0,12.0
1723716198.5142157,23731,21751,717,40.318305,5,5830,10075,7739.0,1761.0,230.0,40.0,-85.34,-85.23,72122993.0,72105780.0,-1083572195.0,-1155695188.0,-1058831749.0,-1130937529.0,12.0
1723716198.6573107,23732,21752,646,40.262023,5,6024,10084,7170.0,1774.0,230.0,36.0,-85.31,-85.18,72123123.0,72105926.0,939506335.0,867383212.0,964244091.0,892138165.0,12.0
1723716198.800022,23733,21753,541,40.280784,5,1711,7396,8556.0,1434.0,230.0,36.0,-86.23,-88.47,72123277.0,72106080.0,-1332639431.0,-1404762708.0,-1307904389.0,-1380010469.0,12.0
1723716198.9429903,23734,21754,747,40.262023,5,6025,10762,8226.0,2013.0,230.0,40.0,-84.76,-84.69,72122923.0,72105724.0,690429911.0,618306988.0,715162235.0,643056511.0,12.0
1723716199.0856888,23735,21755,616,40.318305,5,1723,8523,9696.0,1763.0,230.0,36.0,-85.34,-87.26,72123091.0,72105869.0,-1581368193.0,-1653491284.0,-1556638597.0,-1628744466.0,12.0
