timestamp,x,y,z
1733129523749501003,-2.7625,-4.25,0.0
1733129523874501004,-2.758764875873417,-4.260451042543379,-0.003
1733129523999501006,-2.7504445497613172,-4.257477420818924,0.00700000000001
1733129524124501006,-2.7504445497613172,-4.257477420818924,0.012
1733129524249501007,-2.7550297510836037,-4.270902086827384,0.018
1733129524374501008,-2.7467094253030973,-4.267928464232662,0.012
1733129524499501010,-2.758764875873417,-4.260451042543379,0.00700000000001
1733129524624501011,-2.7504445497613172,-4.257477420818924,0.016
1733129524749501012,-2.7504445497613172,-4.257477420818924,0.004
1733129524874501013,-2.7550297510836037,-4.270902086827384,0.004
1733129524999501015,-2.7670852020942642,-4.263424664309377,0.006
1733129525124501015,-2.758764875873417,-4.260451042543379,0.014
1733129525249501017,-2.758764875873417,-4.260451042543379,0.008
1733129525374501018,-2.7504445497613172,-4.257477420818924,0.02
1733129525499501019,-2.7467094253030973,-4.267928464232662,0.029
1733129525624501020,-2.758764875873417,-4.260451042543379,0.016
1733129525749501021,-2.7467094253030973,-4.267928464232662,0.029
1733129525874501022,-2.7467094253030973,-4.267928464232662,0.025
1733129525999501025,-2.7633500773044912,-4.27387570859329,-0.005
1733129526124501025,-2.759614952846271,-4.284326752007027,-0.014
1733129526249501026,-2.779990731372817,-4.27982295374159,-0.035
1733129526374501027,-2.771670404986103,-4.276849332410753,-0.013
1733129526499501028,-2.759614952846271,-4.284326752007027,-0.014
1733129526624501029,-2.7633500773044912,-4.27387570859329,-0.006
1733129526749501031,-2.7633500773044912,-4.27387570859329,-0.017
1733129526874501032,-2.7633500773044912,-4.27387570859329,-0.019
1733129526999501034,-2.7762556071347904,-4.290273996740867,-0.029
1733129527124501034,-2.771670404986103,-4.276849332410753,-0.023
1733129527249501035,-2.7670852020942642,-4.263424664309377,-0.012
1733129527374501036,-2.759614952846271,-4.284326752007027,-0.000999999999998
1733129527499501038,-2.7550297510836037,-4.270902086827384,0.001
1733129527624501039,-2.771670404986103,-4.276849332410753,-0.03
1733129527749501040,-2.771670404986103,-4.276849332410753,-0.027
1733129527874501041,-2.7642001560126346,-4.297751419714752,-0.023
1733129527999501043,-2.7633500773044912,-4.27387570859329,-0.01
1733129528124501043,-2.7550297510836037,-4.270902086827384,0.001
1733129528249501044,-2.758764875873417,-4.260451042543379,0.001
1733129528374501046,-2.7633500773044912,-4.27387570859329,-0.03
1733129528499501047,-2.771670404986103,-4.276849332410753,-0.044
1733129528624501048,-2.7633500773044912,-4.27387570859329,-0.051
1733129528749501049,-2.771670404986103,-4.276849332410753,-0.059
1733129528874501050,-2.7762556071347904,-4.290273996740867,-0.062
1733129528999501053,-2.779990731372817,-4.27982295374159,-0.052
1733129529124501053,-2.775405530107528,-4.266398287256488,-0.052
1733129529249501054,-2.771670404986103,-4.276849332410753,-0.046
1733129529374501055,-2.7633500773044912,-4.27387570859329,-0.042
1733129529499501056,-2.775405530107528,-4.266398287256488,-0.034
1733129529624501057,-2.7633500773044912,-4.27387570859329,-0.033
1733129529749501058,-2.7670852020942642,-4.263424664309377,-0.033
1733129529874501060,-2.771670404986103,-4.276849332410753,-0.031
1733129529999501062,-2.775405530107528,-4.266398287256488,-0.043
1733129530124501062,-2.771670404986103,-4.276849332410753,-0.045
1733129530249501063,-2.7670852020942642,-4.263424664309377,-0.042
1733129530374501064,-2.771670404986103,-4.276849332410753,-0.038
1733129530499501065,-2.783725856273982,-4.269371909001653,-0.055
1733129530624501066,-2.775405530107528,-4.266398287256488,-0.049
1733129530749501068,-2.775405530107528,-4.266398287256488,-0.045
1733129530874501069,-2.775405530107528,-4.266398287256488,-0.051
1733129530999501071,-2.771670404986103,-4.276849332410753,-0.047
1733129531124501071,-2.7633500773044912,-4.27387570859329,-0.048
1733129531249501072,-2.7670852020942642,-4.263424664309377,-0.043
1733129531374501073,-2.771670404986103,-4.276849332410753,-0.042
1733129531499501074,-2.771670404986103,-4.276849332410753,-0.039
1733129531624501075,-2.7633500773044912,-4.27387570859329,-0.038
1733129531749501077,-2.775405530107528,-4.266398287256488,-0.034
1733129531874501078,-2.775405530107528,-4.266398287256488,-0.05
1733129531999501080,-2.771670404986103,-4.276849332410753,-0.06
1733129532124501080,-2.775405530107528,-4.266398287256488,-0.05
1733129532249501081,-2.771670404986103,-4.276849332410753,-0.048
1733129532374501082,-2.775405530107528,-4.266398287256488,-0.048
1733129532499501083,-2.7670852020942642,-4.263424664309377,-0.056
1733129532624501084,-2.738389098859441,-4.264954843378488,-0.055
1733129532749501085,-2.7180133226226695,-4.269458641519785,-0.058
1733129532874501086,-2.680996891377148,-4.268015197144402,-0.057
1733129532999501089,-2.6523007885879397,-4.269545374390077,-0.046
1733129533124501089,-2.5986437074678106,-4.262154685467822,-0.051
1733129533249501090,-2.5458367035509433,-4.278639703604881,-0.033
1733129533374501091,-2.4792740930459947,-4.254850724712417,0.001
1733129533499501092,-2.409826433747628,-4.265388498696329,0.016
1733129533624501093,-2.3357935757480592,-4.262501605676837,0.021
1733129533749501094,-2.270081041299678,-4.2625883344032705,0.025
1733129533874501095,-2.1839927296399795,-4.267178859902627,0.031
1733129533999501097,-2.097904419280363,-4.271769386893648,0.031
1733129534124501097,-2.023871558246104,-4.268882490725258,0.016
1733129534249501098,-1.9294629200624822,-4.270499389858423,0.013
1733129534374501099,-1.8267339545114551,-4.269142667785224,0.015
1733129534499501100,-1.7406456415163132,-4.273733188290809,0.001
1733129534624501101,-1.6470870760105376,-4.299225795251521,-0.014
1733129534749501102,-1.5480932360349555,-4.287418024211022,-0.017
1733129534874501104,-1.4212533652554264,-4.301016134988934,-0.014
1733129534999501106,-1.3222595245882103,-4.289208361691244,-0.003
1733129535124501106,-1.2195305598992592,-4.287851629980375,-0.015
1733129535249501107,-1.0843703589034979,-4.298476111988921,0.0
1733129535374501108,-0.952945286420855,-4.298649547644485,0.038
1733129535499501109,-0.8215202135085835,-4.298822981141619,0.037
1733129535624501110,-0.6984154658285995,-4.301970037025231,0.037
1733129535749501111,-0.5753107172302059,-4.305117092061288,0.046
1733129535874501112,-0.43183018860807465,-4.312767938812405,0.061
1733129535999501114,-0.2920847850725736,-4.309967738401486,0.051
1733129536124501114,-0.15692458132965204,-4.320592203915913,0.047
1733129536249501115,-0.04587528436165256,-4.316261831689382,0.027
1733129536374501116,0.10592557280155379,-4.320939042831331,0.019
1733129536499501117,0.2494061067919966,-4.328589875080613,0.02
1733129536624501118,0.3891515116356903,-4.325789664200806,0.005
1733129536749501120,0.5288969167332329,-4.322989449746343,0.001
1733129536874501121,0.6761125797235144,-4.341091317689763,-0.008
1733129536999501123,0.824178314321375,-4.335317471744487,-0.000999999999998
1733129537124501123,0.9842995023288905,-4.33702103992536,0.003
1733129537249501124,1.1240449098219512,-4.334220814092234,-0.006
1733129537374501125,1.2804309721563927,-4.325473333347287,-0.008
1733129537499501126,1.4322318368725755,-4.3301505196843015,0.004
1733129537624501127,1.5840327022221752,-4.334827702291332,-0.021
1733129537749501128,1.7404187662451607,-4.326080211935286,-0.024
1733129537874501129,1.9005399609053137,-4.327783760138139,-0.021
1733129537999501131,2.0773018063670907,-4.323540051982772,-0.004
1733129538124501131,2.2299527420193126,-4.304341510732436,-0.000999999999998
1733129538249501132,2.3983942632158604,-4.303071423597703,0.011
1733129538374501133,2.575156112812115,-4.298827702898113,0.049
1733129538499501134,2.7435976346652238,-4.297557605550274,0.073
1733129538624501135,2.9083040294399636,-4.285836465783415,0.076
1733129538749501137,3.0767455534464494,-4.284566362628255,0.076
1733129538874501138,3.2331316225936986,-4.275818841907685,0.058
1733129538999501140,3.4015731483561575,-4.274548732604366,0.076
1733129539124501140,3.56254441312315,-4.252376537590841,0.074
1733129539249501141,3.7309859404275114,-4.251106421717967,0.059
1733129539374501142,3.887372009733694,-4.242358888972754,0.071
1733129539499501143,4.055813539829265,-4.241088763068634,0.073
1733129539624501144,4.220519936151981,-4.2293675948135885,0.087
1733129539749501145,4.380641143208143,-4.2310710944391445,0.08
1733129539874501146,4.549082675806096,-4.229800958110864,0.089
